,Year,Nationality_En,Number_of_Cases
0,2018,Egypt,7
1,2018,India,13
2,2018,Palestine,1
3,2018,Saudi Arabia,63
4,2018,Sudan,1
5,2018,Yemen,1
6,2019,Afghanistan,54
7,2019,Albania,9
8,2019,Algeria,551
9,2019,Armenia,5
10,2019,Australia,120
11,2019,Austria,4
12,2019,Azerbaijan,93
13,2019,Bahrain,357
14,2019,Bangladesh,584
15,2019,Belarus,17
16,2019,Belgium,22
17,2019,Bosnia And Herzegovina,53
18,2019,Brazil,8
19,2019,Burkina Faso,2
20,2019,Burma,5
21,2019,Cameroon,5
22,2019,Canada,513
23,2019,Chad,72
24,2019,China,87
25,2019,Colombia,29
26,2019,Comoros,1
27,2019,Croatia,47
28,2019,Cuba,377
29,2019,Cyprus,9
30,2019,Czech Republic,174
31,2019,Denmark,11
32,2019,Djibouti,25
33,2019,Dominica,11
34,2019,Dominican Republic,21
35,2019,Egypt,65422
36,2019,Eritrea,270
37,2019,Ethiopia,58
38,2019,Finland,60
39,2019,France,147
40,2019,Germany,172
41,2019,Ghana,37
42,2019,Greece,433
43,2019,Honduras,1
44,2019,Hong Kong,2
45,2019,Hungary,8
46,2019,Iceland,9
47,2019,Immigrant Tribes,244
48,2019,India,44525
49,2019,Indonesia,1165
50,2019,Iraq,197
51,2019,Ireland,613
52,2019,Italy,141
53,2019,Jordan,6741
54,2019,Kazakhstan,2
55,2019,Kenya,53
56,2019,Kosovo,7
57,2019,Kuwait,87
58,2019,Kyrgyzstan,22
59,2019,Lebanon,1249
60,2019,Libya,12
61,2019,Lithuania,6
62,2019,Madagascar,1
63,2019,Malaysia,2820
64,2019,Mali,9
65,2019,Malta,1
66,2019,Mauritania,66
67,2019,Mauritius,11
68,2019,Mexico,12
69,2019,Moldova,1
70,2019,Morocco,146
71,2019,Myanmar,3
72,2019,Namibia,1
73,2019,Nepal,69
74,2019,Netherlands,33
75,2019,New Zealand,165
76,2019,Niger,21
77,2019,Nigeria,1243
78,2019,Norway,9
79,2019,Oman,28
80,2019,Pakistan,8683
81,2019,Palestine,2843
82,2019,Peru,2
83,2019,Philippines,54457
84,2019,Poland,72
85,2019,Portugal,155
86,2019,Qatar,2
87,2019,Romania,53
88,2019,Russia,228
89,2019,Saint Kitts And Nevis,4
90,2019,Saudi Arabia,185708
91,2019,Scotland,593
92,2019,Senegal,5
93,2019,Serbia,213
94,2019,Singapore,4
95,2019,Slovakia,70
96,2019,Somalia,292
97,2019,South Africa,1132
98,2019,South Korea,195
99,2019,Spain,277
100,2019,Sri Lanka,73
101,2019,Sudan,24884
102,2019,Sweden,94
103,2019,Switzerland,2
104,2019,Syria,9306
105,2019,Taiwan,4
106,2019,Tajikistan,1
107,2019,Tanzania,18
108,2019,Thailand,48
109,2019,Tunisia,1572
110,2019,Turkey,146
111,2019,Turkmenistan,3
112,2019,Uganda,1
113,2019,Ukraine,43
114,2019,United Arab Emirates,29
115,2019,United Kingdom,1226
116,2019,United States,1076
117,2019,Unknown,45
118,2019,Uzbekistan,162
119,2019,Venezuela,118
120,2019,Yemen,6391
121,2019,Yugoslavia,9
122,2019,Zimbabwe,8
123,2020,Afghanistan,97
124,2020,Albania,9
125,2020,Algeria,694
126,2020,Argentina,5
127,2020,Armenia,22
128,2020,Aruba,3
129,2020,Australia,155
130,2020,Austria,2
131,2020,Azerbaijan,274
132,2020,Bahrain,464
133,2020,Bangladesh,416
