,Active_Years,Gender_Name_En,Nationality_En,Medical_Field_En,Age_Group_En,Number_of_Practitioners
0,2022,Female,Philippines,Nursing and Midwifery,From 30 to 39,30369
1,2022,Female,Saudi Arabia,Nursing and Midwifery,From 30 to 39,30147
3,2021,Female,Philippines,Nursing and Midwifery,From 30 to 39,23203
5,2022,Female,India,Nursing and Midwifery,From 30 to 39,21314
6,2022,Female,Saudi Arabia,Therapy and Rehabilitation,From 20 to 29,20539
7,2017,Female,Philippines,Nursing and Midwifery,From 30 to 39,20081
8,2016,Female,Philippines,Nursing and Midwifery,From 30 to 39,19265
9,2018,Female,Philippines,Nursing and Midwifery,From 30 to 39,18204
10,2022,Male,Saudi Arabia,Nursing and Midwifery,From 30 to 39,17856
11,2021,Female,Saudi Arabia,Nursing and Midwifery,From 30 to 39,17684
13,2022,Female,Saudi Arabia,Nursing and Midwifery,From 20 to 29,17026
14,2020,Female,Philippines,Nursing and Midwifery,From 30 to 39,17000
16,2019,Female,Philippines,Nursing and Midwifery,From 30 to 39,16585
18,2022,Male,Saudi Arabia,Laboratories and Medical Technology,From 30 to 39,15879
20,2021,Female,India,Nursing and Midwifery,From 30 to 39,15324
22,2022,Male,Saudi Arabia,Therapy and Rehabilitation,From 20 to 29,14883
24,2022,Female,India,Nursing and Midwifery,From 20 to 29,14563
25,2021,Female,Saudi Arabia,Therapy and Rehabilitation,From 20 to 29,14033
29,2022,Male,Saudi Arabia,Technicians and Health Assistants,From 30 to 39,12450
32,2022,Female,Saudi Arabia,Laboratories and Medical Technology,From 20 to 29,12088
33,2022,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,From 30 to 39,11275
34,2022,Male,Saudi Arabia,Medicine and Surgery,From 20 to 29,11170
35,2022,Male,Saudi Arabia,Health Administration and Community Health,From 30 to 39,11096
36,2022,Male,Saudi Arabia,Technicians and Health Assistants,From 20 to 29,10862
38,2021,Male,Saudi Arabia,Nursing and Midwifery,From 30 to 39,10664
40,2022,Male,Saudi Arabia,Medicine and Surgery,From 30 to 39,10541
42,2020,Female,India,Nursing and Midwifery,From 30 to 39,10111
43,2017,Female,India,Nursing and Midwifery,From 30 to 39,9933
44,2021,Female,India,Nursing and Midwifery,From 20 to 29,9819
45,2018,Female,India,Nursing and Midwifery,From 30 to 39,9804
47,2016,Female,India,Nursing and Midwifery,From 30 to 39,9709
49,2022,Female,Philippines,Nursing and Midwifery,From 40 to 49,9516
50,2021,Male,Saudi Arabia,Laboratories and Medical Technology,From 30 to 39,9500
53,2022,Male,Saudi Arabia,Therapy and Rehabilitation,From 30 to 39,9361
54,2021,Female,Saudi Arabia,Nursing and Midwifery,From 20 to 29,9304
55,2019,Female,India,Nursing and Midwifery,From 30 to 39,9289
56,2022,Female,Saudi Arabia,Medicine and Surgery,From 20 to 29,9279
57,2022,Male,Egypt,Pharmacists and Pharmacy Technicians,From 30 to 39,8839
59,2021,Male,Saudi Arabia,Therapy and Rehabilitation,From 20 to 29,8729
62,2021,Male,Saudi Arabia,Technicians and Health Assistants,From 30 to 39,8166
63,2022,Female,Philippines,Nursing and Midwifery,From 20 to 29,8157
68,2022,Male,Saudi Arabia,Laboratories and Medical Technology,From 20 to 29,7843
73,2021,Male,Saudi Arabia,Health Administration and Community Health,From 30 to 39,7382
75,2022,Female,Saudi Arabia,Technicians and Health Assistants,From 20 to 29,7207
78,2021,Female,Saudi Arabia,Laboratories and Medical Technology,From 20 to 29,7180
79,2022,Male,Egypt,Medicine and Surgery,From 40 to 49,7164
80,2022,Female,Saudi Arabia,Therapy and Rehabilitation,From 30 to 39,6990
81,2020,Female,Saudi Arabia,Therapy and Rehabilitation,From 20 to 29,6950
82,2022,Female,Saudi Arabia,Dentistry and Related Specialties,From 20 to 29,6950
84,2022,Male,Egypt,Medicine and Surgery,From 30 to 39,6818
85,2021,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,From 30 to 39,6761
87,2022,Male,Saudi Arabia,Nursing and Midwifery,From 40 to 49,6525
88,2022,Female,Saudi Arabia,Medicine and Surgery,From 30 to 39,6489
89,2022,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,From 20 to 29,6415
91,2022,Male,Saudi Arabia,Health Administration and Community Health,From 20 to 29,6398
92,2021,Female,Philippines,Nursing and Midwifery,From 40 to 49,6347
94,2021,Male,Saudi Arabia,Medicine and Surgery,From 20 to 29,6315
95,2021,Male,Saudi Arabia,Therapy and Rehabilitation,From 30 to 39,6288
100,2022,Female,Saudi Arabia,Health Administration and Community Health,From 20 to 29,6091
101,2022,Female,Saudi Arabia,Laboratories and Medical Technology,From 30 to 39,6051
103,2021,Male,Saudi Arabia,Medicine and Surgery,From 30 to 39,5927
105,2021,Male,Egypt,Pharmacists and Pharmacy Technicians,From 30 to 39,5774
106,2021,Female,Philippines,Nursing and Midwifery,From 20 to 29,5768
109,2022,Female,India,Nursing and Midwifery,From 40 to 49,5281
112,2022,Male,Saudi Arabia,Dentistry and Related Specialties,From 20 to 29,5202
115,2021,Female,Saudi Arabia,Medicine and Surgery,From 20 to 29,5119
117,2022,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,From 20 to 29,5059
118,2022,Female,Philippines,Nursing and Midwifery,From 50 to 59,5055
120,2022,Male,Philippines,Nursing and Midwifery,From 30 to 39,5026
121,2019,Female,Saudi Arabia,Therapy and Rehabilitation,From 20 to 29,5026
122,2022,Female,Saudi Arabia,Dentistry and Related Specialties,From 30 to 39,5000
124,2021,Female,Saudi Arabia,Therapy and Rehabilitation,From 30 to 39,4975
125,2022,Female,Saudi Arabia,Nursing and Midwifery,From 40 to 49,4930
126,2022,Male,Saudi Arabia,Dentistry and Related Specialties,From 30 to 39,4893
127,2021,Male,Saudi Arabia,Technicians and Health Assistants,From 20 to 29,4885
128,2022,Female,Egypt,Medicine and Surgery,From 30 to 39,4803
131,2020,Female,Saudi Arabia,Nursing and Midwifery,From 30 to 39,4723
132,2021,Male,Saudi Arabia,Laboratories and Medical Technology,From 20 to 29,4655
133,2021,Male,Saudi Arabia,Health Administration and Community Health,From 20 to 29,4613
139,2022,Male,Saudi Arabia,Laboratories and Medical Technology,From 40 to 49,4436
140,2022,Female,Sudan,Medicine and Surgery,From 30 to 39,4434
146,2022,Male,Saudi Arabia,Therapy and Rehabilitation,From 40 to 49,4238
149,2021,Male,Egypt,Medicine and Surgery,From 40 to 49,4207
150,2022,Male,Egypt,Medicine and Surgery,From 50 to 59,4198
155,2022,Male,Saudi Arabia,Nursing and Midwifery,From 20 to 29,4134
157,2021,Male,Egypt,Medicine and Surgery,From 30 to 39,4039
158,2020,Male,Saudi Arabia,Therapy and Rehabilitation,From 20 to 29,4034
162,2021,Female,Saudi Arabia,Health Administration and Community Health,From 20 to 29,3995
166,2021,Male,Saudi Arabia,Nursing and Midwifery,From 40 to 49,3937
168,2022,Male,Egypt,Pharmacists and Pharmacy Technicians,From 20 to 29,3837
170,2020,Female,Philippines,Nursing and Midwifery,From 20 to 29,3788
172,2018,Female,Saudi Arabia,Therapy and Rehabilitation,From 20 to 29,3768
173,2020,Male,Saudi Arabia,Nursing and Midwifery,From 30 to 39,3748
176,2021,Female,Saudi Arabia,Medicine and Surgery,From 30 to 39,3728
183,2021,Male,Philippines,Nursing and Midwifery,From 30 to 39,3652
184,2021,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,From 20 to 29,3641
186,2021,Female,Saudi Arabia,Laboratories and Medical Technology,From 30 to 39,3597
187,2020,Male,Egypt,Pharmacists and Pharmacy Technicians,From 30 to 39,3592
189,2020,Male,Saudi Arabia,Health Administration and Community Health,From 30 to 39,3573
190,2021,Female,India,Nursing and Midwifery,From 40 to 49,3569
192,2022,Male,Saudi Arabia,Health Administration and Community Health,From 40 to 49,3562
193,2021,Female,Saudi Arabia,Dentistry and Related Specialties,From 20 to 29,3507
195,2021,Female,Philippines,Nursing and Midwifery,From 50 to 59,3483
196,2020,Male,Saudi Arabia,Therapy and Rehabilitation,From 30 to 39,3444
199,2022,Female,Saudi Arabia,Health Administration and Community Health,From 30 to 39,3377
200,2022,Female,Saudi Arabia,Technicians and Health Assistants,From 30 to 39,3366
201,2020,Male,Saudi Arabia,Laboratories and Medical Technology,From 30 to 39,3363
203,2020,Male,Saudi Arabia,Technicians and Health Assistants,From 30 to 39,3350
204,2016,Female,Philippines,Nursing and Midwifery,From 40 to 49,3344
205,2022,Male,Saudi Arabia,Medicine and Surgery,From 40 to 49,3342
207,2022,Female,Egypt,Medicine and Surgery,From 40 to 49,3226
209,2022,Male,Saudi Arabia,Technicians and Health Assistants,From 40 to 49,3213
210,2017,Female,Philippines,Nursing and Midwifery,From 40 to 49,3209
214,2021,Female,Saudi Arabia,Technicians and Health Assistants,From 20 to 29,3178
215,2022,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,From 30 to 39,3169
216,2022,Male,Egypt,Pharmacists and Pharmacy Technicians,From 40 to 49,3117
218,2016,Male,Egypt,Pharmacists and Pharmacy Technicians,From 30 to 39,3063
219,2022,Female,Sudan,Nursing and Midwifery,From 20 to 29,3048
220,2017,Male,Egypt,Pharmacists and Pharmacy Technicians,From 30 to 39,3038
221,2019,Male,Egypt,Pharmacists and Pharmacy Technicians,From 30 to 39,3016
222,2020,Female,Saudi Arabia,Therapy and Rehabilitation,From 30 to 39,2986
223,2020,Female,India,Nursing and Midwifery,From 20 to 29,2970
225,2021,Female,Saudi Arabia,Nursing and Midwifery,From 40 to 49,2964
227,2022,Male,Egypt,Medicine and Surgery,From 60 to 69,2959
228,2022,Male,Sudan,Medicine and Surgery,From 30 to 39,2902
