,Active_Years,Gender_Name_En,Nationality_En,Medical_Field_En,Number_of_Practitioners
0,2022,Female,Philippines,Nursing and Midwifery,54136
1,2022,Female,Saudi Arabia,Nursing and Midwifery,53978
3,2022,Female,India,Nursing and Midwifery,42501
5,2021,Female,Philippines,Nursing and Midwifery,40189
7,2021,Female,Saudi Arabia,Nursing and Midwifery,31318
8,2022,Female,Saudi Arabia,Therapy and Rehabilitation,30200
9,2022,Male,Saudi Arabia,Therapy and Rehabilitation,29863
10,2021,Female,India,Nursing and Midwifery,29830
11,2022,Male,Saudi Arabia,Nursing and Midwifery,29780
12,2022,Male,Saudi Arabia,Laboratories and Medical Technology,29607
13,2017,Female,Philippines,Nursing and Midwifery,29192
14,2016,Female,Philippines,Nursing and Midwifery,28268
15,2022,Male,Saudi Arabia,Medicine and Surgery,28229
16,2022,Male,Saudi Arabia,Technicians and Health Assistants,27398
17,2018,Female,Philippines,Nursing and Midwifery,26761
18,2020,Female,Philippines,Nursing and Midwifery,26600
20,2019,Female,Philippines,Nursing and Midwifery,25203
29,2022,Male,Saudi Arabia,Health Administration and Community Health,22187
31,2022,Male,Egypt,Medicine and Surgery,21495
32,2021,Female,Saudi Arabia,Therapy and Rehabilitation,20865
33,2022,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,19819
35,2022,Female,Saudi Arabia,Laboratories and Medical Technology,19617
36,2021,Male,Saudi Arabia,Therapy and Rehabilitation,18962
37,2022,Female,Saudi Arabia,Medicine and Surgery,18431
40,2021,Male,Saudi Arabia,Nursing and Midwifery,17902
41,2021,Male,Saudi Arabia,Laboratories and Medical Technology,17804
45,2022,Male,Egypt,Pharmacists and Pharmacy Technicians,16471
46,2021,Male,Saudi Arabia,Medicine and Surgery,16048
48,2021,Male,Saudi Arabia,Technicians and Health Assistants,15848
50,2020,Female,India,Nursing and Midwifery,15495
52,2021,Male,Saudi Arabia,Health Administration and Community Health,15011
54,2022,Female,Saudi Arabia,Dentistry and Related Specialties,13426
55,2017,Female,India,Nursing and Midwifery,13408
56,2021,Male,Egypt,Medicine and Surgery,13377
57,2016,Female,India,Nursing and Midwifery,13247
58,2019,Female,India,Nursing and Midwifery,13059
59,2018,Female,India,Nursing and Midwifery,12954
67,2022,Male,Saudi Arabia,Dentistry and Related Specialties,11831
68,2021,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,11713
69,2021,Female,Saudi Arabia,Laboratories and Medical Technology,11659
74,2022,Female,Saudi Arabia,Technicians and Health Assistants,11188
75,2020,Female,Saudi Arabia,Therapy and Rehabilitation,10967
76,2021,Male,Egypt,Pharmacists and Pharmacy Technicians,10929
78,2022,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,10492
79,2021,Female,Saudi Arabia,Medicine and Surgery,10416
81,2022,Female,Egypt,Medicine and Surgery,10266
83,2022,Female,Saudi Arabia,Health Administration and Community Health,10178
85,2020,Male,Saudi Arabia,Therapy and Rehabilitation,9754
91,2020,Female,Saudi Arabia,Nursing and Midwifery,8778
93,2019,Female,Saudi Arabia,Therapy and Rehabilitation,8379
97,2022,Female,Sudan,Medicine and Surgery,8058
100,2020,Male,Saudi Arabia,Health Administration and Community Health,7411
102,2022,Male,Sudan,Medicine and Surgery,7328
103,2021,Female,Saudi Arabia,Dentistry and Related Specialties,7163
104,2018,Female,Saudi Arabia,Therapy and Rehabilitation,7100
106,2022,Male,Philippines,Nursing and Midwifery,6932
109,2020,Male,Saudi Arabia,Technicians and Health Assistants,6784
110,2019,Male,Saudi Arabia,Therapy and Rehabilitation,6750
111,2021,Female,Saudi Arabia,Health Administration and Community Health,6681
114,2020,Male,Saudi Arabia,Laboratories and Medical Technology,6577
115,2020,Male,Saudi Arabia,Nursing and Midwifery,6511
116,2021,Female,Egypt,Medicine and Surgery,6341
