,Active_Years,Gender_Name_En,Nationality_En,Medical_Field_En,Profile_Status_En,Number_of_Practitioners
0,2022,Female,Philippines,Nursing and Midwifery,Clear,54077
1,2022,Female,Saudi Arabia,Nursing and Midwifery,Clear,53974
3,2022,Female,India,Nursing and Midwifery,Clear,42473
5,2021,Female,Philippines,Nursing and Midwifery,Clear,40076
7,2021,Female,Saudi Arabia,Nursing and Midwifery,Clear,31310
8,2022,Female,Saudi Arabia,Therapy and Rehabilitation,Clear,30199
9,2022,Male,Saudi Arabia,Therapy and Rehabilitation,Clear,29858
10,2021,Female,India,Nursing and Midwifery,Clear,29785
11,2022,Male,Saudi Arabia,Nursing and Midwifery,Clear,29780
12,2022,Male,Saudi Arabia,Laboratories and Medical Technology,Clear,29596
13,2022,Male,Saudi Arabia,Medicine and Surgery,Clear,28222
14,2017,Female,Philippines,Nursing and Midwifery,Clear,27526
15,2022,Male,Saudi Arabia,Technicians and Health Assistants,Clear,27396
16,2016,Female,Philippines,Nursing and Midwifery,Clear,26550
17,2020,Female,Philippines,Nursing and Midwifery,Clear,26386
18,2018,Female,Philippines,Nursing and Midwifery,Clear,25313
20,2019,Female,Philippines,Nursing and Midwifery,Clear,24616
29,2022,Male,Saudi Arabia,Health Administration and Community Health,Clear,22186
30,2022,Male,Egypt,Medicine and Surgery,Clear,21481
32,2021,Female,Saudi Arabia,Therapy and Rehabilitation,Clear,20853
33,2022,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Clear,19819
35,2022,Female,Saudi Arabia,Laboratories and Medical Technology,Clear,19613
36,2021,Male,Saudi Arabia,Therapy and Rehabilitation,Clear,18944
37,2022,Female,Saudi Arabia,Medicine and Surgery,Clear,18429
39,2021,Male,Saudi Arabia,Nursing and Midwifery,Clear,17900
40,2021,Male,Saudi Arabia,Laboratories and Medical Technology,Clear,17777
45,2022,Male,Egypt,Pharmacists and Pharmacy Technicians,Clear,16469
46,2021,Male,Saudi Arabia,Medicine and Surgery,Clear,16039
47,2021,Male,Saudi Arabia,Technicians and Health Assistants,Clear,15845
49,2020,Female,India,Nursing and Midwifery,Clear,15424
51,2021,Male,Saudi Arabia,Health Administration and Community Health,Clear,15002
54,2022,Female,Saudi Arabia,Dentistry and Related Specialties,Clear,13426
55,2021,Male,Egypt,Medicine and Surgery,Clear,13360
56,2017,Female,India,Nursing and Midwifery,Clear,12984
57,2019,Female,India,Nursing and Midwifery,Clear,12918
58,2016,Female,India,Nursing and Midwifery,Clear,12798
59,2018,Female,India,Nursing and Midwifery,Clear,12655
66,2022,Male,Saudi Arabia,Dentistry and Related Specialties,Clear,11831
67,2021,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Clear,11712
