,Active_Years,Gender_Name_En,Nationality_En,Medical_Field_En,Registration_Status_En,Number_of_Practitioners
0,2022,Female,Saudi Arabia,Nursing and Midwifery,Valid,50870
1,2022,Female,Philippines,Nursing and Midwifery,Valid,46470
4,2022,Female,India,Nursing and Midwifery,Valid,37530
6,2022,Female,Saudi Arabia,Therapy and Rehabilitation,Valid,27586
7,2022,Male,Saudi Arabia,Nursing and Midwifery,Valid,27272
8,2022,Male,Saudi Arabia,Laboratories and Medical Technology,Valid,27154
9,2016,Female,Philippines,Nursing and Midwifery,Expired Outdated,27077
10,2021,Female,Saudi Arabia,Nursing and Midwifery,Valid,27060
11,2022,Male,Saudi Arabia,Therapy and Rehabilitation,Valid,27007
12,2022,Male,Saudi Arabia,Medicine and Surgery,Valid,25743
13,2021,Female,Philippines,Nursing and Midwifery,Valid,25442
15,2022,Male,Saudi Arabia,Technicians and Health Assistants,Valid,25097
16,2017,Female,Philippines,Nursing and Midwifery,Expired Outdated,24903
24,2018,Female,Philippines,Nursing and Midwifery,Expired Outdated,22433
27,2021,Female,India,Nursing and Midwifery,Valid,20712
28,2022,Male,Egypt,Medicine and Surgery,Valid,20020
29,2022,Male,Saudi Arabia,Health Administration and Community Health,Valid,19795
31,2019,Female,Philippines,Nursing and Midwifery,Expired Outdated,19270
32,2022,Female,Saudi Arabia,Laboratories and Medical Technology,Valid,18579
33,2022,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Valid,18498
38,2022,Female,Saudi Arabia,Medicine and Surgery,Valid,16745
41,2021,Female,Saudi Arabia,Therapy and Rehabilitation,Valid,15325
44,2022,Male,Egypt,Pharmacists and Pharmacy Technicians,Valid,14812
45,2021,Male,Saudi Arabia,Nursing and Midwifery,Valid,14302
46,2021,Male,Saudi Arabia,Laboratories and Medical Technology,Valid,14286
47,2021,Male,Saudi Arabia,Therapy and Rehabilitation,Valid,13827
49,2021,Male,Saudi Arabia,Medicine and Surgery,Valid,12896
50,2016,Female,India,Nursing and Midwifery,Expired Outdated,12739
52,2022,Female,Saudi Arabia,Dentistry and Related Specialties,Valid,12458
54,2021,Male,Saudi Arabia,Technicians and Health Assistants,Valid,12269
56,2020,Female,Philippines,Nursing and Midwifery,Expired Outdated,12073
61,2017,Female,India,Nursing and Midwifery,Expired Outdated,11639
66,2018,Female,India,Nursing and Midwifery,Expired Outdated,11166
67,2022,Male,Saudi Arabia,Dentistry and Related Specialties,Valid,10971
68,2021,Male,Saudi Arabia,Health Administration and Community Health,Valid,10873
69,2021,Male,Egypt,Medicine and Surgery,Valid,10606
70,2022,Female,Saudi Arabia,Technicians and Health Assistants,Valid,10492
72,2021,Female,Philippines,Nursing and Midwifery,Expired,10433
73,2019,Female,India,Nursing and Midwifery,Expired Outdated,10205
75,2020,Female,Philippines,Nursing and Midwifery,Expired,10058
77,2021,Female,Saudi Arabia,Laboratories and Medical Technology,Valid,9945
78,2022,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Valid,9902
80,2021,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Valid,9773
81,2022,Female,Egypt,Medicine and Surgery,Valid,9650
82,2022,Female,Saudi Arabia,Health Administration and Community Health,Valid,9214
89,2021,Female,Saudi Arabia,Medicine and Surgery,Valid,8272
94,2022,Female,Philippines,Nursing and Midwifery,Expired,7666
95,2021,Male,Egypt,Pharmacists and Pharmacy Technicians,Valid,7633
96,2022,Female,Sudan,Medicine and Surgery,Valid,7597
99,2019,Female,Saudi Arabia,Therapy and Rehabilitation,Expired Outdated,7172
101,2020,Female,India,Nursing and Midwifery,Expired Outdated,6833
103,2018,Female,Saudi Arabia,Therapy and Rehabilitation,Expired Outdated,6763
104,2022,Male,Sudan,Medicine and Surgery,Valid,6719
106,2021,Female,India,Nursing and Midwifery,Expired,6491
111,2020,Female,India,Nursing and Midwifery,Expired,6054
113,2022,Female,Egypt,Nursing and Midwifery,Valid,5968
114,2022,Male,Philippines,Nursing and Midwifery,Valid,5946
115,2021,Female,Saudi Arabia,Dentistry and Related Specialties,Valid,5899
116,2018,Male,Saudi Arabia,Therapy and Rehabilitation,Expired Outdated,5803
118,2019,Female,Philippines,Nursing and Midwifery,Expired,5534
120,2019,Male,Saudi Arabia,Therapy and Rehabilitation,Expired Outdated,5502
121,2022,Female,Sudan,Nursing and Midwifery,Valid,5459
123,2021,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Valid,5338
124,2020,Female,Saudi Arabia,Therapy and Rehabilitation,Expired Outdated,5290
126,2021,Male,Saudi Arabia,Dentistry and Related Specialties,Valid,5129
127,2021,Female,Egypt,Medicine and Surgery,Valid,5101
128,2016,Male,Egypt,Pharmacists and Pharmacy Technicians,Expired Outdated,5074
131,2021,Female,Saudi Arabia,Health Administration and Community Health,Valid,4990
132,2022,Female,India,Nursing and Midwifery,Expired,4970
134,2017,Male,Saudi Arabia,Therapy and Rehabilitation,Expired Outdated,4861
135,2017,Female,Saudi Arabia,Therapy and Rehabilitation,Expired Outdated,4737
137,2016,Male,Egypt,Medicine and Surgery,Expired Outdated,4639
140,2017,Male,Egypt,Pharmacists and Pharmacy Technicians,Expired Outdated,4520
143,2020,Female,Philippines,Nursing and Midwifery,Valid,4428
146,2016,Male,Saudi Arabia,Therapy and Rehabilitation,Expired Outdated,4323
147,2017,Male,Egypt,Medicine and Surgery,Expired Outdated,4307
148,2021,Female,Philippines,Nursing and Midwifery,Expired Outdated,4281
149,2021,Female,Saudi Arabia,Technicians and Health Assistants,Valid,4166
150,2018,Male,Egypt,Pharmacists and Pharmacy Technicians,Expired Outdated,4127
151,2021,Female,Sudan,Medicine and Surgery,Valid,4114
