,Active_Years,Gender_Name_En,Nationality_En,Medical_Field_En,Current_Speciality_Name_En,Number_of_Practitioners
0,2022,Female,Saudi Arabia,Nursing and Midwifery,Nursing,50791
1,2022,Female,Philippines,Nursing and Midwifery,Nursing,50639
3,2022,Female,India,Nursing and Midwifery,Nursing,42277
5,2021,Female,Philippines,Nursing and Midwifery,Nursing,37669
7,2021,Female,Saudi Arabia,Nursing and Midwifery,Nursing,29708
8,2021,Female,India,Nursing and Midwifery,Nursing,29613
9,2017,Female,Philippines,Nursing and Midwifery,Nursing,27928
10,2022,Male,Saudi Arabia,Nursing and Midwifery,Nursing,27904
11,2016,Female,Philippines,Nursing and Midwifery,Nursing,27090
12,2018,Female,Philippines,Nursing and Midwifery,Nursing,25649
13,2020,Female,Philippines,Nursing and Midwifery,Nursing,25263
14,2019,Female,Philippines,Nursing and Midwifery,Nursing,24066
21,2022,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Pharmacy,18138
22,2021,Male,Saudi Arabia,Nursing and Midwifery,Nursing,16929
24,2022,Male,Egypt,Pharmacists and Pharmacy Technicians,Pharmacy,16428
26,2020,Female,India,Nursing and Midwifery,Nursing,15412
29,2022,Male,Saudi Arabia,Laboratories and Medical Technology,Laboratory,13717
31,2017,Female,India,Nursing and Midwifery,Nursing,13365
32,2016,Female,India,Nursing and Midwifery,Nursing,13190
33,2019,Female,India,Nursing and Midwifery,Nursing,12981
34,2018,Female,India,Nursing and Midwifery,Nursing,12923
36,2022,Male,Saudi Arabia,Technicians and Health Assistants,Emergency Medical Services,11730
41,2022,Female,Saudi Arabia,Laboratories and Medical Technology,Laboratory,11174
42,2021,Male,Egypt,Pharmacists and Pharmacy Technicians,Pharmacy,10868
44,2021,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Pharmacy,10655
47,2022,Male,Saudi Arabia,Laboratories and Medical Technology,Radiological Technology,9674
49,2022,Male,Saudi Arabia,Health Administration and Community Health,Health Administration,9272
50,2022,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Pharmacy,9133
53,2021,Male,Saudi Arabia,Laboratories and Medical Technology,Laboratory,8456
54,2020,Female,Saudi Arabia,Nursing and Midwifery,Nursing,8394
57,2022,Male,Saudi Arabia,Technicians and Health Assistants,Health Care security,7843
58,2021,Male,Saudi Arabia,Technicians and Health Assistants,Emergency Medical Services,7594
65,2021,Female,Saudi Arabia,Laboratories and Medical Technology,Laboratory,6898
66,2022,Male,Philippines,Nursing and Midwifery,Nursing,6888
67,2022,Male,Saudi Arabia,Dentistry and Related Specialties,General Dentistry,6722
69,2021,Male,Saudi Arabia,Health Administration and Community Health,Health Administration,6422
71,2022,Male,Saudi Arabia,Medicine and Surgery,General Practice,6401
73,2020,Male,Saudi Arabia,Nursing and Midwifery,Nursing,6239
75,2022,Female,Egypt,Nursing and Midwifery,Nursing,6173
76,2022,Male,Saudi Arabia,Health Administration and Community Health,Public Health,6147
77,2020,Male,Egypt,Pharmacists and Pharmacy Technicians,Pharmacy,5981
79,2022,Female,Saudi Arabia,Dentistry and Related Specialties,General Dentistry,5931
80,2022,Female,Saudi Arabia,Therapy and Rehabilitation,Physiotherapy,5752
81,2021,Male,Saudi Arabia,Laboratories and Medical Technology,Radiological Technology,5592
82,2022,Male,Saudi Arabia,Therapy and Rehabilitation,Physiotherapy,5553
83,2022,Female,Sudan,Nursing and Midwifery,Nursing,5518
86,2017,Male,Egypt,Pharmacists and Pharmacy Technicians,Pharmacy,5335
87,2016,Male,Egypt,Pharmacists and Pharmacy Technicians,Pharmacy,5327
90,2021,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Pharmacy,5249
92,2022,Female,Saudi Arabia,Therapy and Rehabilitation,Social Service,5164
95,2022,Male,Saudi Arabia,Health Administration and Community Health,Health Informatics,5123
96,2019,Male,Egypt,Pharmacists and Pharmacy Technicians,Pharmacy,5118
98,2021,Male,Philippines,Nursing and Midwifery,Nursing,5054
100,2022,Male,Saudi Arabia,Therapy and Rehabilitation,Emergency Medical Services,4977
101,2022,Female,Saudi Arabia,Therapy and Rehabilitation,Psychology,4968
103,2018,Male,Egypt,Pharmacists and Pharmacy Technicians,Pharmacy,4945
104,2022,Female,Sudan,Medicine and Surgery,General Practice,4936
111,2022,Female,Saudi Arabia,Laboratories and Medical Technology,Radiological Technology,4428
112,2022,Female,Saudi Arabia,Dentistry and Related Specialties,Dental Assistant,4410
113,2022,Male,Sudan,Medicine and Surgery,General Practice,4312
114,2022,Male,Saudi Arabia,Therapy and Rehabilitation,Sociology,4310
115,2022,Male,Saudi Arabia,Medicine and Surgery,Internal Medicine,4213
117,2021,Female,Saudi Arabia,Therapy and Rehabilitation,Social Service,4168
