,Active_Years,City_Name_En,Longitude,Latitude,Gender_Name_En,Nationality_En,Medical_Field_En,Number_of_Practitioners
0,2022,Riyadh,46.675296,24.713552,Female,Philippines,Nursing and Midwifery,19045
1,2021,Riyadh,46.675296,24.713552,Female,Philippines,Nursing and Midwifery,14635
3,2017,Riyadh,46.675296,24.713552,Female,Philippines,Nursing and Midwifery,12141
4,2016,Riyadh,46.675296,24.713552,Female,Philippines,Nursing and Midwifery,11937
5,2018,Riyadh,46.675296,24.713552,Female,Philippines,Nursing and Midwifery,11529
6,2020,Riyadh,46.675296,24.713552,Female,Philippines,Nursing and Midwifery,10572
7,2019,Riyadh,46.675296,24.713552,Female,Philippines,Nursing and Midwifery,10510
11,2022,Riyadh,46.675296,24.713552,Male,Saudi Arabia,Nursing and Midwifery,8939
12,2022,Riyadh,46.675296,24.713552,Female,Saudi Arabia,Nursing and Midwifery,8280
13,2022,Riyadh,46.675296,24.713552,Male,Saudi Arabia,Laboratories and Medical Technology,7676
16,2022,Riyadh,46.675296,24.713552,Male,Saudi Arabia,Medicine and Surgery,6886
18,2022,Riyadh,46.675296,24.713552,Male,Saudi Arabia,Technicians and Health Assistants,6854
22,2022,Riyadh,46.675296,24.713552,Male,Saudi Arabia,Therapy and Rehabilitation,6199
23,2022,Jeddah,39.192505,21.485811,Female,Philippines,Nursing and Midwifery,6194
24,2022,Riyadh,46.675296,24.713552,Female,India,Nursing and Midwifery,6093
26,2022,Riyadh,46.675296,24.713552,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,5446
27,2021,Riyadh,46.675296,24.713552,Male,Saudi Arabia,Nursing and Midwifery,5426
32,2021,Riyadh,46.675296,24.713552,Female,Saudi Arabia,Nursing and Midwifery,4965
34,2021,Riyadh,46.675296,24.713552,Male,Saudi Arabia,Technicians and Health Assistants,4824
36,2021,Riyadh,46.675296,24.713552,Male,Saudi Arabia,Laboratories and Medical Technology,4707
39,2021,Jeddah,39.192505,21.485811,Female,Philippines,Nursing and Midwifery,4493
40,2021,Riyadh,46.675296,24.713552,Female,India,Nursing and Midwifery,4403
42,2022,Jeddah,39.192505,21.485811,Female,Saudi Arabia,Nursing and Midwifery,4199
43,2021,Riyadh,46.675296,24.713552,Male,Saudi Arabia,Medicine and Surgery,4120
44,2022,Riyadh,46.675296,24.713552,Male,Egypt,Medicine and Surgery,4110
45,2022,Riyadh,46.675296,24.713552,Female,Saudi Arabia,Therapy and Rehabilitation,4076
47,2021,Riyadh,46.675296,24.713552,Male,Saudi Arabia,Therapy and Rehabilitation,3868
49,2022,Riyadh,46.675296,24.713552,Male,Egypt,Pharmacists and Pharmacy Technicians,3749
50,2017,Jeddah,39.192505,21.485811,Female,Philippines,Nursing and Midwifery,3742
52,2022,Riyadh,46.675296,24.713552,Male,Saudi Arabia,Health Administration and Community Health,3605
54,2016,Jeddah,39.192505,21.485811,Female,Philippines,Nursing and Midwifery,3592
55,2021,Riyadh,46.675296,24.713552,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,3535
57,2022,Jeddah,39.192505,21.485811,Male,Saudi Arabia,Medicine and Surgery,3449
60,2018,Jeddah,39.192505,21.485811,Female,Philippines,Nursing and Midwifery,3365
61,2022,Jeddah,39.192505,21.485811,Male,Egypt,Pharmacists and Pharmacy Technicians,3317
66,2019,Jeddah,39.192505,21.485811,Female,Philippines,Nursing and Midwifery,3188
68,2022,Riyadh,46.675296,24.713552,Male,Saudi Arabia,Dentistry and Related Specialties,3163
69,2020,Jeddah,39.192505,21.485811,Female,Philippines,Nursing and Midwifery,3152
71,2020,Riyadh,46.675296,24.713552,Female,India,Nursing and Midwifery,3127
72,2017,Riyadh,46.675296,24.713552,Female,India,Nursing and Midwifery,3096
73,2022,Riyadh,46.675296,24.713552,Female,Saudi Arabia,Laboratories and Medical Technology,3089
74,2018,Riyadh,46.675296,24.713552,Female,India,Nursing and Midwifery,3059
75,2016,Riyadh,46.675296,24.713552,Female,India,Nursing and Midwifery,3046
79,2022,Riyadh,46.675296,24.713552,Female,Saudi Arabia,Dentistry and Related Specialties,2989
83,2022,Jeddah,39.192505,21.485811,Female,Saudi Arabia,Medicine and Surgery,2952
84,2022,Madinah,39.569184,24.524654,Female,Saudi Arabia,Nursing and Midwifery,2889
87,2022,Riyadh,46.675296,24.713552,Female,Saudi Arabia,Medicine and Surgery,2806
88,2021,Riyadh,46.675296,24.713552,Male,Egypt,Pharmacists and Pharmacy Technicians,2805
89,2022,Dammam,50.088794,26.420683,Female,Saudi Arabia,Nursing and Midwifery,2772
91,2019,Riyadh,46.675296,24.713552,Female,India,Nursing and Midwifery,2733
92,2022,Jazan,42.570567,16.889359,Female,Saudi Arabia,Nursing and Midwifery,2717
94,2021,Riyadh,46.675296,24.713552,Male,Egypt,Medicine and Surgery,2677
101,2020,Riyadh,46.675296,24.713552,Male,Saudi Arabia,Therapy and Rehabilitation,2572
102,2021,Riyadh,46.675296,24.713552,Female,Saudi Arabia,Therapy and Rehabilitation,2568
104,2020,Riyadh,46.675296,24.713552,Male,Saudi Arabia,Technicians and Health Assistants,2508
107,2022,Riyadh,46.675296,24.713552,Male,Philippines,Nursing and Midwifery,2430
111,2021,Jeddah,39.192505,21.485811,Female,Saudi Arabia,Nursing and Midwifery,2390
112,2022,Jeddah,39.192505,21.485811,Male,Egypt,Medicine and Surgery,2387
113,2021,Riyadh,46.675296,24.713552,Male,Saudi Arabia,Health Administration and Community Health,2384
115,2018,Riyadh,46.675296,24.713552,Male,Saudi Arabia,Therapy and Rehabilitation,2374
116,2016,Riyadh,46.675296,24.713552,Male,Egypt,Pharmacists and Pharmacy Technicians,2360
119,2020,Riyadh,46.675296,24.713552,Male,Saudi Arabia,Nursing and Midwifery,2254
122,2022,Jeddah,39.192505,21.485811,Female,India,Nursing and Midwifery,2199
123,2022,Jeddah,39.192505,21.485811,Female,Saudi Arabia,Laboratories and Medical Technology,2194
124,2019,Riyadh,46.675296,24.713552,Male,Saudi Arabia,Therapy and Rehabilitation,2167
125,2022,Abha,42.511724,18.246468,Female,Saudi Arabia,Nursing and Midwifery,2164
127,2022,Jeddah,39.192505,21.485811,Female,Saudi Arabia,Therapy and Rehabilitation,2135
129,2022,Al-Ahsa,49.449963,25.141626,Female,Saudi Arabia,Nursing and Midwifery,2106
130,2017,Riyadh,46.675296,24.713552,Male,Egypt,Pharmacists and Pharmacy Technicians,2106
131,2022,Riyadh,46.675296,24.713552,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,2088
132,2020,Riyadh,46.675296,24.713552,Female,Saudi Arabia,Therapy and Rehabilitation,2082
134,2021,Jeddah,39.192505,21.485811,Male,Saudi Arabia,Medicine and Surgery,2015
137,2021,Jeddah,39.192505,21.485811,Male,Egypt,Pharmacists and Pharmacy Technicians,2009
138,2020,Riyadh,46.675296,24.713552,Male,Saudi Arabia,Laboratories and Medical Technology,1999
139,2022,Jeddah,39.192505,21.485811,Male,Saudi Arabia,Laboratories and Medical Technology,1996
140,2020,Riyadh,46.675296,24.713552,Male,Egypt,Pharmacists and Pharmacy Technicians,1985
141,2022,Riyadh,46.675296,24.713552,Female,Egypt,Medicine and Surgery,1971
142,2022,Madinah,39.569184,24.524654,Female,Philippines,Nursing and Midwifery,1944
143,2021,Madinah,39.569184,24.524654,Female,Saudi Arabia,Nursing and Midwifery,1942
145,2022,Taif,40.424819,21.284078,Female,Philippines,Nursing and Midwifery,1927
146,2018,Riyadh,46.675296,24.713552,Female,Saudi Arabia,Therapy and Rehabilitation,1918
147,2017,Riyadh,46.675296,24.713552,Male,Saudi Arabia,Therapy and Rehabilitation,1880
148,2018,Riyadh,46.675296,24.713552,Male,Egypt,Pharmacists and Pharmacy Technicians,1870
149,2018,Jeddah,39.192505,21.485811,Female,Saudi Arabia,Therapy and Rehabilitation,1856
150,2019,Riyadh,46.675296,24.713552,Male,Egypt,Pharmacists and Pharmacy Technicians,1854
153,2019,Riyadh,46.675296,24.713552,Female,Saudi Arabia,Therapy and Rehabilitation,1830
154,2021,Riyadh,46.675296,24.713552,Male,Philippines,Nursing and Midwifery,1826
155,2022,Makkah,39.857912,21.389082,Female,Philippines,Nursing and Midwifery,1821
156,2022,Makkah,39.857912,21.389082,Female,Saudi Arabia,Nursing and Midwifery,1813
159,2022,Madinah,39.569184,24.524654,Male,Saudi Arabia,Nursing and Midwifery,1785
162,2021,Riyadh,46.675296,24.713552,Female,Saudi Arabia,Dentistry and Related Specialties,1739
163,2019,Jeddah,39.192505,21.485811,Female,Saudi Arabia,Therapy and Rehabilitation,1712
165,2022,Alqatif  ,49.998236,26.576492,Female,Saudi Arabia,Nursing and Midwifery,1703
166,2021,Riyadh,46.675296,24.713552,Male,Saudi Arabia,Dentistry and Related Specialties,1703
167,2022,Jeddah,39.192505,21.485811,Female,Saudi Arabia,Dentistry and Related Specialties,1695
169,2021,Jeddah,39.192505,21.485811,Female,Saudi Arabia,Medicine and Surgery,1693
171,2022,Dammam,50.088794,26.420683,Female,Philippines,Nursing and Midwifery,1687
173,2021,Riyadh,46.675296,24.713552,Female,Saudi Arabia,Laboratories and Medical Technology,1683
175,2021,Riyadh,46.675296,24.713552,Female,Saudi Arabia,Medicine and Surgery,1678
176,2022,Jazan,42.570567,16.889359,Male,Saudi Arabia,Laboratories and Medical Technology,1665
178,2022,Tabuk,36.566191,28.383508,Female,Saudi Arabia,Nursing and Midwifery,1643
179,2022,Jeddah,39.192505,21.485811,Male,Saudi Arabia,Health Administration and Community Health,1640
181,2022,Jeddah,39.192505,21.485811,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,1611
182,2021,Dammam,50.088794,26.420683,Female,Saudi Arabia,Nursing and Midwifery,1604
183,2020,Riyadh,46.675296,24.713552,Female,Saudi Arabia,Nursing and Midwifery,1601
184,2021,Jeddah,39.192505,21.485811,Female,India,Nursing and Midwifery,1590
186,2021,Jeddah,39.192505,21.485811,Female,Saudi Arabia,Therapy and Rehabilitation,1584
188,2022,Madinah,39.569184,24.524654,Male,Saudi Arabia,Laboratories and Medical Technology,1563
189,2020,Riyadh,46.675296,24.713552,Male,Saudi Arabia,Medicine and Surgery,1561
194,2022,Riyadh,46.675296,24.713552,Female,Sudan,Medicine and Surgery,1527
