,Academic_Year,Gender_En,Nationality_Name_En,Current_Medical_Field_En,Region_Name_En,Number_of_Trainees
0,2021,Male,Saudi Arabia,Medicine and Surgery,Riyadh,3307
1,2020,Male,Saudi Arabia,Medicine and Surgery,Riyadh,3246
2,2019,Male,Saudi Arabia,Medicine and Surgery,Riyadh,3189
3,2018,Male,Saudi Arabia,Medicine and Surgery,Riyadh,2971
4,2017,Male,Saudi Arabia,Medicine and Surgery,Riyadh,2798
5,2021,Female,Saudi Arabia,Medicine and Surgery,Riyadh,2500
6,2016,Male,Saudi Arabia,Medicine and Surgery,Riyadh,2459
7,2020,Female,Saudi Arabia,Medicine and Surgery,Riyadh,2351
8,2021,Male,Saudi Arabia,Medicine and Surgery,Makkah,2193
10,2020,Male,Saudi Arabia,Medicine and Surgery,Makkah,2112
11,2019,Female,Saudi Arabia,Medicine and Surgery,Riyadh,2083
12,2021,Female,Saudi Arabia,Medicine and Surgery,Makkah,2070
13,2019,Male,Saudi Arabia,Medicine and Surgery,Makkah,1944
14,2020,Female,Saudi Arabia,Medicine and Surgery,Makkah,1920
16,2018,Female,Saudi Arabia,Medicine and Surgery,Riyadh,1857
17,2019,Female,Saudi Arabia,Medicine and Surgery,Makkah,1782
18,2018,Male,Saudi Arabia,Medicine and Surgery,Makkah,1694
19,2017,Female,Saudi Arabia,Medicine and Surgery,Riyadh,1659
20,2018,Female,Saudi Arabia,Medicine and Surgery,Makkah,1582
22,2017,Male,Saudi Arabia,Medicine and Surgery,Makkah,1477
23,2016,Female,Saudi Arabia,Medicine and Surgery,Riyadh,1407
25,2017,Female,Saudi Arabia,Medicine and Surgery,Makkah,1335
27,2016,Male,Saudi Arabia,Medicine and Surgery,Makkah,1181
29,2016,Female,Saudi Arabia,Medicine and Surgery,Makkah,1090
30,2021,Male,Saudi Arabia,Medicine and Surgery,Eastern Province,1080
31,2021,Female,Saudi Arabia,Medicine and Surgery,Eastern Province,1063
32,2020,Female,Saudi Arabia,Medicine and Surgery,Eastern Province,1044
34,2020,Male,Saudi Arabia,Medicine and Surgery,Eastern Province,984
37,2019,Female,Saudi Arabia,Medicine and Surgery,Eastern Province,946
38,2019,Male,Saudi Arabia,Medicine and Surgery,Eastern Province,881
40,2018,Female,Saudi Arabia,Medicine and Surgery,Eastern Province,850
43,2018,Male,Saudi Arabia,Medicine and Surgery,Eastern Province,789
44,2022,Male,Saudi Arabia,Medicine and Surgery,Riyadh,770
48,2017,Female,Saudi Arabia,Medicine and Surgery,Eastern Province,728
50,2017,Male,Saudi Arabia,Medicine and Surgery,Eastern Province,652
55,2016,Male,Saudi Arabia,Medicine and Surgery,Eastern Province,562
57,2016,Female,Saudi Arabia,Medicine and Surgery,Eastern Province,543
60,2022,Female,Saudi Arabia,Medicine and Surgery,Riyadh,509
63,2021,Male,Saudi Arabia,Medicine and Surgery,Asir,479
66,2020,Male,Saudi Arabia,Medicine and Surgery,Asir,451
74,2019,Male,Saudi Arabia,Medicine and Surgery,Asir,406
75,2021,Male,Saudi Arabia,Medicine and Surgery,Al Madinah,387
79,2018,Male,Saudi Arabia,Medicine and Surgery,Asir,367
81,2020,Male,Saudi Arabia,Medicine and Surgery,Al Madinah,353
85,2021,Female,Saudi Arabia,Medicine and Surgery,Al Madinah,329
87,2019,Male,Saudi Arabia,Medicine and Surgery,Al Madinah,314
88,2017,Male,Saudi Arabia,Medicine and Surgery,Asir,307
91,2021,Female,Saudi Arabia,Dentistry and Related Specialties,Riyadh,301
96,2020,Female,Saudi Arabia,Medicine and Surgery,Al Madinah,287
98,2021,Male,Saudi Arabia,Dentistry and Related Specialties,Riyadh,284
99,2018,Male,Saudi Arabia,Medicine and Surgery,Al Madinah,279
102,2019,Female,Saudi Arabia,Medicine and Surgery,Al Madinah,261
103,2016,Male,Saudi Arabia,Medicine and Surgery,Asir,251
104,2020,Male,Saudi Arabia,Dentistry and Related Specialties,Riyadh,250
