,Academic_Year,Age_Group_En,Gender_En,Nationality_Name_En,Current_Speciality_Name_En,Number_of_Trainees
0,2021,From 20 to 29,Male,Saudi Arabia,Internal Medicine,1192
1,2021,From 20 to 29,Female,Saudi Arabia,Family Medicine,1055
2,2021,From 20 to 29,Male,Saudi Arabia,Family Medicine,988
3,2021,From 20 to 29,Female,Saudi Arabia,Pediatrics,869
4,2020,From 20 to 29,Male,Saudi Arabia,Internal Medicine,847
5,2020,From 20 to 29,Female,Saudi Arabia,Family Medicine,837
6,2021,From 20 to 29,Female,Saudi Arabia,Internal Medicine,744
7,2020,From 20 to 29,Male,Saudi Arabia,Family Medicine,728
8,2020,From 20 to 29,Female,Saudi Arabia,Pediatrics,636
9,2021,From 20 to 29,Male,Saudi Arabia,Pediatrics,631
10,2019,From 20 to 29,Male,Saudi Arabia,Internal Medicine,598
11,2019,From 20 to 29,Female,Saudi Arabia,Family Medicine,584
12,2020,From 20 to 29,Female,Saudi Arabia,Internal Medicine,517
13,2021,From 20 to 29,Female,Saudi Arabia,Obstetrics & Gynecology,500
14,2020,From 20 to 29,Male,Saudi Arabia,Pediatrics,482
15,2019,From 20 to 29,Male,Saudi Arabia,Family Medicine,469
16,2017,Unknown,Female,Saudi Arabia,Family Medicine,468
17,2017,Unknown,Male,Saudi Arabia,Internal Medicine,433
18,2018,Unknown,Female,Saudi Arabia,Family Medicine,425
19,2019,From 20 to 29,Female,Saudi Arabia,Pediatrics,414
20,2017,Unknown,Male,Saudi Arabia,Family Medicine,408
21,2018,Unknown,Male,Saudi Arabia,Internal Medicine,399
22,2019,From 20 to 29,Female,Saudi Arabia,Internal Medicine,381
23,2021,From 20 to 29,Male,Saudi Arabia,General Surgery,381
24,2018,Unknown,Male,Saudi Arabia,Family Medicine,368
25,2020,From 20 to 29,Female,Saudi Arabia,Obstetrics & Gynecology,355
27,2019,Unknown,Male,Saudi Arabia,Internal Medicine,334
28,2021,From 20 to 29,Female,Saudi Arabia,General Surgery,332
29,2019,From 20 to 29,Male,Saudi Arabia,Pediatrics,331
30,2017,Unknown,Male,Saudi Arabia,General Surgery,329
32,2018,From 20 to 29,Female,Saudi Arabia,Family Medicine,326
34,2017,Unknown,Female,Saudi Arabia,Obstetrics & Gynecology,321
35,2016,Unknown,Female,Saudi Arabia,Family Medicine,317
36,2021,From 20 to 29,Male,Saudi Arabia,Orthopedic Surgery,313
37,2016,Unknown,Male,Saudi Arabia,Family Medicine,312
38,2018,Unknown,Male,Saudi Arabia,General Surgery,303
39,2021,From 20 to 29,Male,Saudi Arabia,Emergency Medicine,301
41,2020,From 20 to 29,Male,Saudi Arabia,General Surgery,298
43,2019,From 30 to 39,Male,Saudi Arabia,Family Medicine,298
45,2021,From 20 to 29,Male,Saudi Arabia,Diagnostic Radiology,284
46,2019,Unknown,Female,Saudi Arabia,Family Medicine,282
47,2018,Unknown,Female,Saudi Arabia,Obstetrics & Gynecology,280
48,2018,From 20 to 29,Male,Saudi Arabia,Internal Medicine,275
49,2020,Unknown,Male,Saudi Arabia,Internal Medicine,271
51,2018,From 30 to 39,Male,Saudi Arabia,Family Medicine,269
52,2019,Unknown,Male,Saudi Arabia,Family Medicine,266
53,2017,Unknown,Female,Saudi Arabia,Pediatrics,263
57,2020,From 20 to 29,Female,Saudi Arabia,General Surgery,250
59,2019,From 30 to 39,Female,Saudi Arabia,Family Medicine,248
60,2016,Unknown,Male,Saudi Arabia,General Surgery,248
61,2016,Unknown,Male,Saudi Arabia,Internal Medicine,246
62,2019,Unknown,Female,Saudi Arabia,Obstetrics & Gynecology,246
63,2020,Unknown,Female,Saudi Arabia,Family Medicine,243
66,2018,Unknown,Female,Saudi Arabia,Pediatrics,236
67,2020,From 20 to 29,Male,Saudi Arabia,Orthopedic Surgery,235
68,2019,Unknown,Male,Saudi Arabia,General Surgery,234
69,2017,Unknown,Female,Saudi Arabia,Internal Medicine,233
70,2020,Unknown,Male,Saudi Arabia,Family Medicine,233
71,2018,From 30 to 39,Female,Saudi Arabia,Family Medicine,232
72,2016,Unknown,Female,Saudi Arabia,Obstetrics & Gynecology,228
74,2020,From 30 to 39,Male,Saudi Arabia,Family Medicine,226
75,2017,Unknown,Male,Saudi Arabia,Orthopedic Surgery,225
77,2021,From 20 to 29,Female,Saudi Arabia,Diagnostic Radiology,223
79,2018,From 20 to 29,Male,Saudi Arabia,Family Medicine,222
80,2020,From 20 to 29,Male,Saudi Arabia,Emergency Medicine,221
81,2019,From 30 to 39,Male,Saudi Arabia,Internal Medicine,220
83,2019,From 20 to 29,Female,Saudi Arabia,Obstetrics & Gynecology,216
84,2018,Unknown,Female,Saudi Arabia,Internal Medicine,216
85,2018,From 20 to 29,Female,Saudi Arabia,Pediatrics,214
86,2021,From 30 to 39,Male,Saudi Arabia,Internal Medicine,213
89,2021,From 20 to 29,Female,Saudi Arabia,Emergency Medicine,208
90,2020,From 30 to 39,Male,Saudi Arabia,Internal Medicine,207
94,2018,Unknown,Male,Saudi Arabia,Orthopedic Surgery,205
95,2020,Unknown,Female,Saudi Arabia,Obstetrics & Gynecology,204
97,2017,From 30 to 39,Male,Saudi Arabia,Family Medicine,201
98,2016,From 30 to 39,Female,Saudi Arabia,Family Medicine,200
99,2017,From 30 to 39,Female,Saudi Arabia,Family Medicine,199
100,2021,From 30 to 39,Male,Saudi Arabia,Family Medicine,198
101,2019,From 20 to 29,Male,Saudi Arabia,General Surgery,196
102,2017,Unknown,Male,Saudi Arabia,Pediatrics,195
104,2016,From 30 to 39,Male,Saudi Arabia,Family Medicine,193
105,2020,From 20 to 29,Male,Saudi Arabia,Diagnostic Radiology,193
107,2018,From 20 to 29,Female,Saudi Arabia,Internal Medicine,192
110,2021,From 20 to 29,Male,Saudi Arabia,Urology,182
112,2019,Unknown,Female,Saudi Arabia,Pediatrics,178
113,2020,From 20 to 29,Female,Saudi Arabia,Diagnostic Radiology,177
118,2016,Unknown,Male,Saudi Arabia,Orthopedic Surgery,170
120,2017,Unknown,Male,Saudi Arabia,Emergency Medicine,168
121,2018,Unknown,Male,Saudi Arabia,Pediatrics,168
124,2019,Unknown,Male,Saudi Arabia,Orthopedic Surgery,165
125,2017,Unknown,Female,Saudi Arabia,General Surgery,164
126,2019,Unknown,Female,Saudi Arabia,Internal Medicine,164
127,2018,From 30 to 39,Male,Saudi Arabia,Internal Medicine,164
129,2018,From 20 to 29,Male,Saudi Arabia,Pediatrics,163
130,2017,Unknown,Male,Saudi Arabia,Obstetrics & Gynecology,162
132,2020,Unknown,Male,Saudi Arabia,General Surgery,162
133,2017,Unknown,Male,Saudi Arabia,Urology,160
134,2019,From 20 to 29,Female,Saudi Arabia,General Surgery,159
135,2021,From 20 to 29,Male,Saudi Arabia,Anesthesia,159
139,2017,Unknown,Male,Saudi Arabia,Adult Critical Care Medicine,157
142,2016,From 30 to 39,Male,Saudi Arabia,General Surgery,155
145,2018,Unknown,Female,Saudi Arabia,General Surgery,153
147,2016,Unknown,Female,Saudi Arabia,Pediatrics,152
149,2019,From 20 to 29,Male,Saudi Arabia,Orthopedic Surgery,152
151,2018,Unknown,Male,Saudi Arabia,Obstetrics & Gynecology,150
152,2018,Unknown,Male,Saudi Arabia,Emergency Medicine,150
154,2020,Unknown,Female,Saudi Arabia,Pediatrics,149
155,2018,Unknown,Male,Saudi Arabia,Urology,148
159,2020,From 30 to 39,Female,Saudi Arabia,Family Medicine,147
164,2016,Unknown,Female,Saudi Arabia,Internal Medicine,145
167,2017,Unknown,Male,Saudi Arabia,Diagnostic Radiology,143
169,2021,From 30 to 39,Female,Saudi Arabia,Family Medicine,141
170,2019,From 30 to 39,Female,Saudi Arabia,Pediatrics,140
172,2018,Unknown,Male,Saudi Arabia,Adult Critical Care Medicine,140
173,2021,Unknown,Female,Saudi Arabia,Obstetrics & Gynecology,138
174,2019,Unknown,Male,Saudi Arabia,Pediatrics,138
175,2021,From 20 to 29,Male,Saudi Arabia,Adult Critical Care Medicine,137
176,2020,From 20 to 29,Female,Saudi Arabia,Emergency Medicine,137
180,2017,From 30 to 39,Male,Saudi Arabia,General Surgery,136
182,2020,Unknown,Female,Saudi Arabia,Internal Medicine,134
184,2020,From 20 to 29,Male,Saudi Arabia,Urology,133
187,2019,From 20 to 29,Male,Saudi Arabia,Diagnostic Radiology,131
188,2019,Unknown,Male,Saudi Arabia,Obstetrics & Gynecology,131
190,2019,From 20 to 29,Male,Saudi Arabia,Emergency Medicine,131
191,2016,Unknown,Male,Saudi Arabia,Adult Critical Care Medicine,131
196,2021,From 20 to 29,Male,Saudi Arabia,Obstetrics & Gynecology,128
197,2021,Unknown,Male,Saudi Arabia,Internal Medicine,128
200,2016,Unknown,Male,Saudi Arabia,Emergency Medicine,125
201,2019,Unknown,Female,Saudi Arabia,General Surgery,125
202,2017,Unknown,Male,Saudi Arabia,Otorhinolaryngology Head And Neck Surgery,125
203,2016,Unknown,Male,Saudi Arabia,Urology,125
207,2019,Unknown,Male,Saudi Arabia,Adult Critical Care Medicine,123
210,2018,Unknown,Male,Saudi Arabia,Diagnostic Radiology,122
211,2019,Unknown,Male,Saudi Arabia,Urology,122
212,2020,Unknown,Male,Saudi Arabia,Pediatrics,122
215,2018,From 30 to 39,Male,Saudi Arabia,General Surgery,121
216,2017,Unknown,Male,Saudi Arabia,Anesthesia,121
218,2020,Unknown,Male,Saudi Arabia,Orthopedic Surgery,120
220,2016,Unknown,Female,Saudi Arabia,General Surgery,120
221,2021,Unknown,Male,Saudi Arabia,General Surgery,120
222,2017,Unknown,Female,Saudi Arabia,Diagnostic Radiology,119
224,2019,From 30 to 39,Male,Saudi Arabia,Pediatrics,117
225,2021,From 20 to 29,Male,Saudi Arabia,Neurology,116
228,2016,Unknown,Male,Saudi Arabia,Obstetrics & Gynecology,115
229,2021,From 20 to 29,Female,Saudi Arabia,Anesthesia,114
234,2018,From 30 to 39,Female,Saudi Arabia,Pediatrics,113
235,2016,Unknown,Male,Saudi Arabia,Otorhinolaryngology Head And Neck Surgery,113
236,2019,From 20 to 29,Female,Saudi Arabia,Diagnostic Radiology,111
238,2020,From 30 to 39,Female,Saudi Arabia,Pediatrics,111
239,2021,From 30 to 39,Male,Saudi Arabia,Pediatrics,111
241,2019,Unknown,Male,Saudi Arabia,Emergency Medicine,111
242,2020,Unknown,Male,Saudi Arabia,Obstetrics & Gynecology,110
243,2020,From 30 to 39,Male,Saudi Arabia,Pediatrics,110
244,2018,From 20 to 29,Male,Saudi Arabia,General Surgery,110
245,2018,Unknown,Male,Saudi Arabia,Anesthesia,110
246,2020,From 30 to 39,Female,Saudi Arabia,Obstetrics & Gynecology,110
250,2016,Unknown,Male,Saudi Arabia,Pediatrics,109
252,2019,From 30 to 39,Female,Saudi Arabia,Internal Medicine,108
