,Academic_Year,Age_Group_En,Gender_En,Nationality_Name_En,Trainee_Level_Name,Number_of_Trainees
0,2021,From 20 to 29,Male,Saudi Arabia,R1,1795
1,2017,Unknown,Male,Saudi Arabia,R1,1655
2,2021,From 20 to 29,Female,Saudi Arabia,R1,1633
3,2018,Unknown,Male,Saudi Arabia,R2,1589
4,2021,From 20 to 29,Male,Saudi Arabia,R2,1585
5,2021,From 20 to 29,Female,Saudi Arabia,R2,1571
6,2020,From 20 to 29,Male,Saudi Arabia,R1,1567
7,2020,From 20 to 29,Female,Saudi Arabia,R1,1554
8,2019,From 20 to 29,Male,Saudi Arabia,R1,1486
9,2020,From 20 to 29,Male,Saudi Arabia,R2,1469
10,2019,Unknown,Male,Saudi Arabia,R3,1395
11,2021,From 20 to 29,Male,Saudi Arabia,R3,1379
12,2019,From 20 to 29,Female,Saudi Arabia,R1,1374
13,2020,From 20 to 29,Female,Saudi Arabia,R2,1363
14,2020,Unknown,Male,Saudi Arabia,R4,1307
15,2021,From 20 to 29,Female,Saudi Arabia,R3,1306
16,2017,Unknown,Female,Saudi Arabia,R1,1236
17,2018,Unknown,Female,Saudi Arabia,R2,1197
18,2018,From 20 to 29,Male,Saudi Arabia,R1,1185
19,2019,From 20 to 29,Male,Saudi Arabia,R2,1108
20,2019,Unknown,Female,Saudi Arabia,R3,1104
21,2018,From 20 to 29,Female,Saudi Arabia,R1,1079
23,2020,From 20 to 29,Male,Saudi Arabia,R3,1041
24,2020,Unknown,Female,Saudi Arabia,R4,1035
25,2019,From 20 to 29,Female,Saudi Arabia,R2,1023
26,2016,Unknown,Male,Saudi Arabia,R2,1013
27,2021,From 20 to 29,Male,Saudi Arabia,R4,978
28,2020,From 20 to 29,Female,Saudi Arabia,R3,970
29,2017,Unknown,Male,Saudi Arabia,R3,955
30,2021,From 20 to 29,Female,Saudi Arabia,R4,912
31,2016,Unknown,Male,Saudi Arabia,R1,906
32,2018,Unknown,Male,Saudi Arabia,R4,893
35,2017,Unknown,Male,Saudi Arabia,R2,828
37,2018,Unknown,Male,Saudi Arabia,R3,788
38,2016,Unknown,Female,Saudi Arabia,R2,786
39,2017,Unknown,Female,Saudi Arabia,R3,773
42,2016,Unknown,Male,Saudi Arabia,R3,754
43,2018,Unknown,Female,Saudi Arabia,R4,738
45,2019,Unknown,Male,Saudi Arabia,R4,735
47,2017,Unknown,Male,Saudi Arabia,R4,703
52,2016,From 30 to 39,Male,Saudi Arabia,R1,629
56,2016,Unknown,Male,Saudi Arabia,R4,579
58,2016,Unknown,Female,Saudi Arabia,R1,567
61,2017,From 30 to 39,Male,Saudi Arabia,R2,546
64,2018,From 30 to 39,Male,Saudi Arabia,R1,510
65,2016,Unknown,Female,Saudi Arabia,R3,510
66,2017,Unknown,Female,Saudi Arabia,R2,508
69,2019,From 30 to 39,Male,Saudi Arabia,R2,496
71,2018,Unknown,Female,Saudi Arabia,R3,487
72,2016,From 30 to 39,Female,Saudi Arabia,R1,484
76,2018,From 30 to 39,Male,Saudi Arabia,R3,481
78,2019,Unknown,Female,Saudi Arabia,R4,463
79,2017,Unknown,Female,Saudi Arabia,R4,462
80,2019,From 30 to 39,Male,Saudi Arabia,R4,457
82,2020,From 30 to 39,Male,Saudi Arabia,R3,453
88,2017,From 30 to 39,Female,Saudi Arabia,R2,430
89,2021,Unknown,Male,Saudi Arabia,R5,429
90,2022,Unknown,Male,Saudi Arabia,F1,422
95,2021,From 30 to 39,Male,Saudi Arabia,R4,412
