,Academic_Year,Age_Group_En,Gender_En,Nationality_Name_En,University_Name,Number_of_Trainees
0,2021,From 20 to 29,Male,Saudi Arabia,Unknown,5817
1,2021,From 20 to 29,Female,Saudi Arabia,Unknown,5737
2,2020,From 20 to 29,Male,Saudi Arabia,Unknown,4150
3,2020,From 20 to 29,Female,Saudi Arabia,Unknown,4102
4,2019,From 20 to 29,Male,Saudi Arabia,Unknown,2648
5,2019,From 20 to 29,Female,Saudi Arabia,Unknown,2511
6,2021,From 30 to 39,Male,Saudi Arabia,Unknown,1253
7,2018,From 20 to 29,Male,Saudi Arabia,Unknown,1211
8,2020,From 30 to 39,Male,Saudi Arabia,Unknown,1192
9,2018,From 20 to 29,Female,Saudi Arabia,Unknown,1116
10,2019,From 30 to 39,Male,Saudi Arabia,Unknown,1021
11,2017,Unknown,Male,Saudi Arabia,Unknown,899
12,2016,Unknown,Male,Saudi Arabia,Unknown,864
13,2018,Unknown,Male,Saudi Arabia,Unknown,840
17,2021,From 30 to 39,Female,Saudi Arabia,Unknown,800
19,2016,Unknown,Male,Saudi Arabia,King Saud University,751
21,2017,Unknown,Male,Saudi Arabia,King Saud University,736
22,2020,From 30 to 39,Female,Saudi Arabia,Unknown,726
24,2018,From 30 to 39,Male,Saudi Arabia,Unknown,670
26,2019,From 30 to 39,Female,Saudi Arabia,Unknown,631
28,2018,Unknown,Male,Saudi Arabia,King Saud University,610
29,2019,Unknown,Male,Saudi Arabia,Unknown,604
33,2017,Unknown,Female,Saudi Arabia,King Abdulaziz University,546
37,2017,Unknown,Female,Saudi Arabia,Unknown,508
38,2019,Unknown,Male,Saudi Arabia,King Saud University,503
39,2016,Unknown,Female,Saudi Arabia,Unknown,500
40,2016,Unknown,Female,Saudi Arabia,King Abdulaziz University,495
43,2017,Unknown,Male,Saudi Arabia,King Abdulaziz University,468
44,2018,Unknown,Female,Saudi Arabia,Unknown,463
45,2017,Unknown,Female,Saudi Arabia,King Saud University,458
46,2020,Unknown,Male,Saudi Arabia,Unknown,455
48,2018,Unknown,Female,Saudi Arabia,King Abdulaziz University,447
49,2016,Unknown,Male,Saudi Arabia,King Abdulaziz University,440
54,2016,Unknown,Female,Saudi Arabia,King Saud University,410
55,2017,Unknown,Female,Saudi Arabia,Umm Al Qura University,408
57,2018,From 30 to 39,Female,Saudi Arabia,Unknown,398
58,2018,Unknown,Male,Saudi Arabia,King Abdulaziz University,396
61,2017,Unknown,Male,Saudi Arabia,King Khalid University,389
62,2018,Unknown,Female,Saudi Arabia,King Saud University,387
67,2018,Unknown,Female,Saudi Arabia,Umm Al Qura University,362
70,2020,Unknown,Male,Saudi Arabia,King Saud University,352
71,2019,Unknown,Female,Saudi Arabia,King Abdulaziz University,352
72,2017,Unknown,Male,Saudi Arabia,Umm Al Qura University,351
75,2021,Unknown,Male,Saudi Arabia,Unknown,346
77,2016,Unknown,Female,Saudi Arabia,Umm Al Qura University,343
79,2018,Unknown,Male,Saudi Arabia,King Khalid University,339
80,2019,Unknown,Female,Saudi Arabia,Unknown,334
82,2016,Unknown,Male,Saudi Arabia,King Khalid University,323
