,Academic_Year,Age_Group_En,Gender_En,Nationality_Name_En,Work_Name_En,Number_of_Trainees
0,2021,From 20 to 29,Female,Saudi Arabia,Unknown,2696
1,2021,From 20 to 29,Male,Saudi Arabia,Unknown,2679
2,2021,From 20 to 29,Female,Saudi Arabia,Ministry of Health,2147
3,2021,From 20 to 29,Male,Saudi Arabia,Ministry of Health,2125
4,2017,Unknown,Male,Saudi Arabia,Ministry of Health,1931
5,2020,From 20 to 29,Female,Saudi Arabia,Unknown,1864
6,2020,From 20 to 29,Male,Saudi Arabia,Unknown,1798
7,2018,Unknown,Male,Saudi Arabia,Ministry of Health,1732
8,2020,From 20 to 29,Female,Saudi Arabia,Ministry of Health,1590
9,2020,From 20 to 29,Male,Saudi Arabia,Ministry of Health,1577
11,2017,Unknown,Female,Saudi Arabia,Ministry of Health,1496
12,2016,Unknown,Male,Saudi Arabia,Ministry of Health,1474
13,2019,Unknown,Male,Saudi Arabia,Ministry of Health,1445
15,2018,Unknown,Female,Saudi Arabia,Ministry of Health,1336
17,2020,Unknown,Male,Saudi Arabia,Ministry of Health,1244
18,2019,From 20 to 29,Male,Saudi Arabia,Ministry of Health,1171
19,2019,From 20 to 29,Female,Saudi Arabia,Ministry of Health,1160
21,2019,Unknown,Female,Saudi Arabia,Ministry of Health,1063
22,2016,Unknown,Female,Saudi Arabia,Ministry of Health,1031
23,2020,From 30 to 39,Male,Saudi Arabia,Ministry of Health,1019
25,2019,From 30 to 39,Male,Saudi Arabia,Ministry of Health,1003
27,2019,From 20 to 29,Female,Saudi Arabia,Unknown,996
28,2019,From 20 to 29,Male,Saudi Arabia,Unknown,965
29,2021,From 30 to 39,Male,Saudi Arabia,Ministry of Health,964
30,2020,Unknown,Female,Saudi Arabia,Ministry of Health,925
33,2021,Unknown,Male,Saudi Arabia,Ministry of Health,827
34,2018,From 20 to 29,Female,Saudi Arabia,Ministry of Health,822
35,2018,From 30 to 39,Male,Saudi Arabia,Ministry of Health,822
36,2018,From 20 to 29,Male,Saudi Arabia,Ministry of Health,789
41,2019,From 30 to 39,Female,Saudi Arabia,Ministry of Health,650
