,Academic_Year,Gender_En,Nationality_Name_En,Current_Medical_Field_En,City_Name_En,Longitude,Latitude,Number_of_Trainees
0,2021,Male,Saudi Arabia,Medicine and Surgery,Riyadh,46.675296,24.713552,3276
1,2020,Male,Saudi Arabia,Medicine and Surgery,Riyadh,46.675296,24.713552,3220
2,2019,Male,Saudi Arabia,Medicine and Surgery,Riyadh,46.675296,24.713552,3169
3,2018,Male,Saudi Arabia,Medicine and Surgery,Riyadh,46.675296,24.713552,2953
4,2017,Male,Saudi Arabia,Medicine and Surgery,Riyadh,46.675296,24.713552,2788
5,2021,Female,Saudi Arabia,Medicine and Surgery,Riyadh,46.675296,24.713552,2490
6,2016,Male,Saudi Arabia,Medicine and Surgery,Riyadh,46.675296,24.713552,2452
7,2020,Female,Saudi Arabia,Medicine and Surgery,Riyadh,46.675296,24.713552,2346
9,2019,Female,Saudi Arabia,Medicine and Surgery,Riyadh,46.675296,24.713552,2080
11,2018,Female,Saudi Arabia,Medicine and Surgery,Riyadh,46.675296,24.713552,1856
12,2017,Female,Saudi Arabia,Medicine and Surgery,Riyadh,46.675296,24.713552,1657
14,2016,Female,Saudi Arabia,Medicine and Surgery,Riyadh,46.675296,24.713552,1405
16,2021,Female,Saudi Arabia,Medicine and Surgery,Jeddah,39.192505,21.485811,1346
17,2021,Male,Saudi Arabia,Medicine and Surgery,Jeddah,39.192505,21.485811,1263
18,2020,Female,Saudi Arabia,Medicine and Surgery,Jeddah,39.192505,21.485811,1244
19,2020,Male,Saudi Arabia,Medicine and Surgery,Jeddah,39.192505,21.485811,1239
21,2019,Female,Saudi Arabia,Medicine and Surgery,Jeddah,39.192505,21.485811,1168
23,2019,Male,Saudi Arabia,Medicine and Surgery,Jeddah,39.192505,21.485811,1139
24,2018,Female,Saudi Arabia,Medicine and Surgery,Jeddah,39.192505,21.485811,1039
25,2018,Male,Saudi Arabia,Medicine and Surgery,Jeddah,39.192505,21.485811,1039
28,2017,Male,Saudi Arabia,Medicine and Surgery,Jeddah,39.192505,21.485811,942
29,2017,Female,Saudi Arabia,Medicine and Surgery,Jeddah,39.192505,21.485811,913
31,2016,Female,Saudi Arabia,Medicine and Surgery,Jeddah,39.192505,21.485811,787
32,2016,Male,Saudi Arabia,Medicine and Surgery,Jeddah,39.192505,21.485811,781
34,2022,Male,Saudi Arabia,Medicine and Surgery,Riyadh,46.675296,24.713552,761
45,2022,Female,Saudi Arabia,Medicine and Surgery,Riyadh,46.675296,24.713552,506
46,2021,Male,Saudi Arabia,Medicine and Surgery,Makkah,39.857912,21.389082,502
48,2020,Male,Saudi Arabia,Medicine and Surgery,Makkah,39.857912,21.389082,478
50,2021,Female,Saudi Arabia,Medicine and Surgery,Makkah,39.857912,21.389082,452
52,2019,Male,Saudi Arabia,Medicine and Surgery,Makkah,39.857912,21.389082,440
53,2020,Female,Saudi Arabia,Medicine and Surgery,Makkah,39.857912,21.389082,433
55,2021,Male,Saudi Arabia,Medicine and Surgery,Taif,40.424819,21.284078,428
57,2019,Female,Saudi Arabia,Medicine and Surgery,Makkah,39.857912,21.389082,410
61,2020,Male,Saudi Arabia,Medicine and Surgery,Taif,40.424819,21.284078,395
63,2018,Female,Saudi Arabia,Medicine and Surgery,Makkah,39.857912,21.389082,376
64,2018,Male,Saudi Arabia,Medicine and Surgery,Makkah,39.857912,21.389082,369
66,2019,Male,Saudi Arabia,Medicine and Surgery,Taif,40.424819,21.284078,365
67,2021,Male,Saudi Arabia,Medicine and Surgery,Madinah,39.569184,24.524654,353
71,2021,Female,Saudi Arabia,Medicine and Surgery,Dammam,50.088794,26.420683,324
73,2020,Female,Saudi Arabia,Medicine and Surgery,Dammam,50.088794,26.420683,320
74,2020,Male,Saudi Arabia,Medicine and Surgery,Madinah,39.569184,24.524654,318
