,Academic_Year,Gender_En,Nationality_Name_En,Current_Medical_Field_En,University_Name,Current_Training_Center_Name_En,Number_of_Trainees,University_Longitude,University_Latitude,Training_Center_Longitude,Training_Center_Latitude
0,2021,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Abdulaziz Medical City for National Guard in Riyadh,398,,,46.6375541,24.7414432
1,2021,Male,Saudi Arabia,Medicine and Surgery,Unknown,Prince Sultan Military Medical City in Riyadh,373,,,46.6375541,24.7414432
2,2021,Female,Saudi Arabia,Medicine and Surgery,Unknown,King Abdulaziz Medical City for National Guard in Riyadh,323,,,46.6375541,24.7414432
3,2020,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Abdulaziz Medical City for National Guard in Riyadh,312,,,46.6375541,24.7414432
4,2021,Female,Saudi Arabia,Medicine and Surgery,Unknown,King Fahad Medical City in Riyadh,312,,,46.6375541,24.7414432
5,2021,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Fahad Medical City in Riyadh,292,,,46.6375541,24.7414432
6,2020,Male,Saudi Arabia,Medicine and Surgery,Unknown,Prince Sultan Military Medical City in Riyadh,290,,,46.6375541,24.7414432
7,2020,Female,Saudi Arabia,Medicine and Surgery,Unknown,King Fahad Medical City in Riyadh,284,,,46.6375541,24.7414432
8,2021,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Saud Medical City in Riyadh,282,,,46.6375541,24.7414432
9,2021,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Faisal Specialist Hospital and Research Center in Riyadh,277,,,46.6375541,24.7414432
10,2020,Female,Saudi Arabia,Medicine and Surgery,Unknown,King Abdulaziz Medical City for National Guard in Riyadh,258,,,46.6375541,24.7414432
11,2021,Male,Saudi Arabia,Medicine and Surgery,Unknown,Medical City of King Saud University in Riyadh,257,,,46.6375541,24.7414432
12,2020,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Saud Medical City in Riyadh,245,,,46.6375541,24.7414432
13,2021,Female,Saudi Arabia,Medicine and Surgery,Unknown,Medical City of King Saud University in Riyadh,243,,,46.6375541,24.7414432
14,2020,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Fahad Medical City in Riyadh,243,,,46.6375541,24.7414432
15,2021,Male,Saudi Arabia,Medicine and Surgery,Unknown,General Directorate of Health Affairs in Aseer Region,236,,,42.5238139,18.2024106
16,2019,Male,Saudi Arabia,Medicine and Surgery,Unknown,Prince Sultan Military Medical City in Riyadh,235,,,46.6375541,24.7414432
17,2021,Female,Saudi Arabia,Medicine and Surgery,Unknown,King Faisal Specialist Hospital and Research Center in Riyadh,232,,,46.6375541,24.7414432
18,2019,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Abdulaziz Medical City for National Guard in Riyadh,231,,,46.6375541,24.7414432
19,2020,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Faisal Specialist Hospital and Research Center in Riyadh,231,,,46.6375541,24.7414432
20,2021,Female,Saudi Arabia,Medicine and Surgery,Unknown,Prince Sultan Military Medical City in Riyadh,221,,,46.6375541,24.7414432
21,2019,Female,Saudi Arabia,Medicine and Surgery,Unknown,King Fahad Medical City in Riyadh,202,,,46.6375541,24.7414432
22,2021,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Abdulaziz Medical City for National Guard in Jeddah,201,,,39.362754,21.4222327
