,Academic_Year,City_Name_En,Current_Training_Center_Name_En,Current_Speciality_Name_En,Number_of_Trainees
0,2021,Unknown - Saudi Arabia,Family Medicine Academy in the First Health Cluster,Family Medicine,193
1,2020,Riyadh,King Saud Medical City in Riyadh,Family Medicine,182
2,2020,Unknown - Saudi Arabia,Family Medicine Academy in the First Health Cluster,Family Medicine,174
3,2021,Riyadh,King Saud Medical City in Riyadh,Family Medicine,164
4,2020,Riyadh,King Fahad Medical City in Riyadh,Family Medicine,156
5,2019,Unknown - Saudi Arabia,Family Medicine Academy in the First Health Cluster,Family Medicine,146
6,2019,Riyadh,King Saud Medical City in Riyadh,Family Medicine,137
8,2021,Riyadh,King Fahad Medical City in Riyadh,Family Medicine,134
9,2018,Unknown - Saudi Arabia,Family Medicine Academy in the First Health Cluster,Family Medicine,133
10,2019,Riyadh,King Fahad Medical City in Riyadh,Family Medicine,131
11,2020,Jeddah,The program of the Ministry of Health in Jeddah,Family Medicine,121
13,2021,Jeddah,The program of the Ministry of Health in Jeddah,Family Medicine,120
15,2021,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Internal Medicine,107
16,2020,Al-Ahsa,MOH Graduate Studies Program for Family Medicine,Family Medicine,105
17,2021,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Pediatrics,104
18,2018,Makkah,JointProgram for Family Medicine in Makkah,Family Medicine,103
19,2021,Riyadh,Prince Sultan Military Medical City in Riyadh,Internal Medicine,102
20,2019,Al-Ahsa,MOH Graduate Studies Program for Family Medicine,Family Medicine,101
21,2017,Unknown - Saudi Arabia,Family Medicine Academy in the First Health Cluster,Family Medicine,101
22,2018,Jeddah,JointProgram for Family Medicine in Jeddah,Family Medicine,101
24,2018,Al-Ahsa,MOH Graduate Studies Program for Family Medicine,Family Medicine,98
26,2017,Makkah,JointProgram for Family Medicine in Makkah,Family Medicine,97
28,2021,Riyadh,Medical City of King Saud University in Riyadh,Internal Medicine,97
29,2017,Jeddah,JointProgram for Family Medicine in Jeddah,Family Medicine,96
30,2021,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Internal Medicine,96
31,2020,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Internal Medicine,92
32,2021,Madinah,Maternity and Children Hospital in Medina,Pediatrics,91
33,2018,Riyadh,King Saud Medical City in Riyadh,Family Medicine,90
35,2018,Madinah,JointProgram for Family Medicine in Madinah,Family Medicine,89
