,Academic_Year,City_Name_En,Current_Training_Center_Name_En,Total_Trainees,Graduated_Trainees,Success_Rate
1,2017,Unknown - Saudi Arabia,JointProgram for Psychiatry in East,1,1,1.0
2,2016,Riyadh,King Abdullah bin Abdulaziz University Hospital at Princess Nora Bint Abdulrahmsn University in Riyadh,1,1,1.0
3,2016,Riyadh,Specialized Dental Healthcare Center in Eastern Riyadh,1,1,1.0
4,2016,Unknown,The joint program for endodontics and endodontics,1,1,1.0
5,2016,Unknown - Saudi Arabia,JointProgram for Psychiatry in East,1,1,1.0
10,2016,Yanbu,The program of the Ministry of Health Yanbu,1,1,1.0
11,2018,Riyadh,JointProgram for Endodontic in Central region,23,23,1.0
12,2016,Unknown - Saudi Arabia,The joint program in the Central and Western region,2,2,1.0
13,2017,Riyadh,JointProgram for Endodontic in Central region,23,23,1.0
15,2018,Unknown - Saudi Arabia,JointProgram for Psychiatry in East,1,1,1.0
17,2019,Al-Ahsa,"Al-Jabr Hospital for ophthalmology,ear, nose and throat in Alahsa",1,1,1.0
18,2019,Hofuf,Prince Sultan Center for Cardiac Diseases and Surgery in Hofuf,1,1,1.0
19,2019,Jeddah,Ophthalmology Hospital in Jeddah,1,1,1.0
20,2019,Madinah,General Directorate of Health Affairs in Madinah,1,1,1.0
23,2017,Madinah,Eradah Mental Health Complex in Medina,3,3,1.0
24,2019,Madinah,"Joint training program in the Western Region, Madinah",1,1,1.0
25,2016,Dammam,Imam Abdulrahman Al Faisal Hospital in Dammam,12,12,1.0
26,2016,Makkah,Teaching Dental Hospital at Dentistry College in Umm Al-Qura University in Mecca,1,1,1.0
28,2017,Madinah,General Directorate of Health Affairs in Madinah,1,1,1.0
33,2017,Madinah,"Joint training program in the Western Region, Madinah",1,1,1.0
35,2017,Riyadh,Joint Otolaryngology Program - Riyadh,3,3,1.0
36,2017,Madinah,Specialized Dental Center at King Fahd Hospital in Medina,1,1,1.0
37,2017,Makkah,Joint Family and Community Medicine Program,12,12,1.0
38,2017,Makkah,Pedodontics Combind Prg(Jedd),1,1,1.0
42,2016,Makkah,Pedodontics Combind Prg(Jedd),1,1,1.0
44,2016,Madinah,Eradah Mental Health Complex in Medina,1,1,1.0
46,2017,Riyadh,Specialized Dental Healthcare Center in Eastern Riyadh,1,1,1.0
48,2017,Buraidah,Al-Fayezia Health Center in Buraidah,1,1,1.0
49,2017,Arar,Prince Abdullah bin Abdulaziz bin Musaed Dental Center in Arar,1,1,1.0
51,2017,Riyadh,General Directorate of Health Affairs -for Family Medicine in Riyadh,7,7,1.0
53,2016,Madinah,"Joint training program in the Western Region, Madinah",1,1,1.0
54,2019,Madinah,Specialized Dental Center at King Fahd Hospital in Medina,1,1,1.0
56,2018,Unknown - Saudi Arabia,Joint Training Program in the Eastern Province,1,1,1.0
57,2021,Dammam,Saud AlBabtain Cardiac Center in Dammam,1,1,1.0
59,2018,Riyadh,JointProgram for Orthodontics- Riyadh,9,9,1.0
60,2016,Unknown - Saudi Arabia,Pedodontics Combind Prg(Dam),2,2,1.0
69,2016,Jeddah,Ophthalmology Hospital in Jeddah,1,1,1.0
