,Academic_Year,City_Name_En,Current_Training_Center_Name_En,University_Name,Number_of_Trainees,Exclude_from_chart
0,2021,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Unknown,799,yes
1,2021,Riyadh,King Fahad Medical City in Riyadh,Unknown,697,yes
2,2021,Riyadh,Prince Sultan Military Medical City in Riyadh,Unknown,679,yes
3,2020,Riyadh,King Fahad Medical City in Riyadh,Unknown,620,yes
4,2020,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Unknown,610,yes
5,2021,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Unknown,588,yes
6,2021,Riyadh,King Saud Medical City in Riyadh,Unknown,581,yes
7,2021,Riyadh,Medical City of King Saud University in Riyadh,Unknown,570,yes
8,2020,Riyadh,Prince Sultan Military Medical City in Riyadh,Unknown,537,yes
9,2020,Riyadh,King Saud Medical City in Riyadh,Unknown,515,yes
10,2020,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Unknown,472,yes
11,2019,Riyadh,King Fahad Medical City in Riyadh,Unknown,465,yes
12,2019,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Unknown,458,yes
13,2020,Riyadh,Medical City of King Saud University in Riyadh,Unknown,451,yes
14,2021,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Unknown,437,yes
15,2019,Riyadh,Prince Sultan Military Medical City in Riyadh,Unknown,414,yes
16,2021,Jeddah,King Abdulaziz University Hospital in Jeddah,Unknown,407,yes
17,2021,Abha,General Directorate of Health Affairs in Aseer Region,Unknown,391,yes
18,2019,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Unknown,388,yes
19,2019,Riyadh,King Saud Medical City in Riyadh,Unknown,369,yes
20,2020,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Unknown,327,yes
21,2020,Jeddah,King Abdulaziz University Hospital in Jeddah,Unknown,326,yes
22,2018,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Unknown,307,yes
23,2021,Jazan,General Directorate of Health Affairs in Jazan Region,Unknown,307,yes
24,2019,Riyadh,Medical City of King Saud University in Riyadh,Unknown,304,yes
25,2021,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Unknown,302,yes
26,2018,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Unknown,302,yes
27,2018,Riyadh,King Fahad Medical City in Riyadh,Unknown,291,yes
28,2017,Jeddah,King Abdulaziz University Hospital in Jeddah,King Abdulaziz University,289,no
29,2020,Abha,General Directorate of Health Affairs in Aseer Region,Unknown,285,yes
30,2021,Riyadh,Security Forces Hospital in Riyadh,Unknown,282,yes
31,2021,Khobar,King Fahd University Hospital in Khobar,Unknown,277,yes
32,2018,Riyadh,Prince Sultan Military Medical City in Riyadh,Unknown,273,yes
33,2016,Jeddah,King Abdulaziz University Hospital in Jeddah,King Abdulaziz University,265,no
34,2018,Riyadh,King Saud Medical City in Riyadh,Unknown,248,yes
36,2021,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Unknown,242,yes
38,2020,Jazan,General Directorate of Health Affairs in Jazan Region,Unknown,238,yes
39,2016,Riyadh,King Khalid University Hospital in Riyadh,King Saud University,235,no
40,2016,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Unknown,235,yes
42,2021,Jeddah,King Fahd General Hospital in Jeddah,Unknown,231,yes
43,2020,Khobar,King Fahd University Hospital in Khobar,Unknown,230,yes
44,2017,Abha,General Directorate of Health Affairs in Aseer Region,King Khalid University,226,no
45,2020,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Unknown,226,yes
46,2019,Jeddah,King Abdulaziz University Hospital in Jeddah,Unknown,224,yes
47,2019,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Unknown,223,yes
48,2018,Jeddah,King Abdulaziz University Hospital in Jeddah,King Abdulaziz University,223,no
51,2017,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,King Saud University,219,no
