,Academic_Year,City_Name_En,Current_Training_Center_Name_En,Work_Name_En,Number_of_Trainees
0,2019,Riyadh,King Fahad Medical City in Riyadh,Ministry of Health,430
1,2020,Riyadh,King Fahad Medical City in Riyadh,Ministry of Health,407
2,2021,Riyadh,King Fahad Medical City in Riyadh,Unknown,406
3,2018,Riyadh,King Fahad Medical City in Riyadh,Ministry of Health,396
4,2021,Riyadh,Medical City of King Saud University in Riyadh,Unknown,387
5,2018,Riyadh,King Saud Medical City in Riyadh,Ministry of Health,372
6,2021,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Unknown,366
7,2020,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Ministry of National Guard,362
8,2021,Riyadh,Prince Sultan Military Medical City in Riyadh,Unknown,358
9,2020,Riyadh,King Fahad Medical City in Riyadh,Unknown,346
10,2019,Riyadh,King Saud Medical City in Riyadh,Ministry of Health,337
11,2019,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Ministry of National Guard,336
12,2020,Riyadh,King Saud Medical City in Riyadh,Ministry of Health,323
13,2017,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,King Faisal Specialist Hospital & Research Centre,317
14,2017,Riyadh,King Fahad Medical City in Riyadh,Ministry of Health,309
15,2016,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,King Faisal Specialist Hospital & Research Centre,299
16,2021,Riyadh,King Fahad Medical City in Riyadh,Ministry of Health,293
17,2017,Riyadh,King Saud Medical City in Riyadh,Ministry of Health,285
18,2021,Riyadh,King Saud Medical City in Riyadh,Unknown,283
19,2018,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Ministry of National Guard,282
20,2020,Riyadh,Medical City of King Saud University in Riyadh,Unknown,280
21,2021,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Ministry of National Guard,274
22,2016,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,King Fahad National Guard Hospital,273
23,2021,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,272
24,2021,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Unknown,271
25,2020,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Unknown,270
28,2018,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,King Faisal Specialist Hospital & Research Centre,263
30,2021,Riyadh,King Saud Medical City in Riyadh,Ministry of Health,259
31,2020,Riyadh,King Saud Medical City in Riyadh,Unknown,257
32,2017,Riyadh,King Khalid University Hospital in Riyadh,King Saud University,254
35,2020,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,253
37,2016,Riyadh,King Khalid University Hospital in Riyadh,King Saud University,253
40,2018,Abha,General Directorate of Health Affairs in Aseer Region,Ministry of Health,244
41,2021,Jeddah,King Fahd General Hospital in Jeddah,Ministry of Health,244
42,2020,Riyadh,Prince Sultan Military Medical City in Riyadh,Unknown,242
43,2017,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Ministry of National Guard,239
46,2019,Abha,General Directorate of Health Affairs in Aseer Region,Ministry of Health,230
48,2022,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Personal Contract,229
49,2020,Jeddah,King Fahd General Hospital in Jeddah,Ministry of Health,228
50,2017,Jeddah,King Abdulaziz University Hospital in Jeddah,King Abdulaziz University,227
51,2016,Riyadh,King Fahad Medical City in Riyadh,Ministry of Health,227
54,2021,Abha,General Directorate of Health Affairs in Aseer Region,Ministry of Health,224
55,2016,Riyadh,King Fahad Medical City in Riyadh,King Fahad Medical City in Riyadh,223
56,2017,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Personal Contract,222
57,2020,Abha,General Directorate of Health Affairs in Aseer Region,Ministry of Health,219
58,2021,Jeddah,King Abdulaziz University Hospital in Jeddah,King Abdulaziz University,218
