,Academic_Year,Current_Medical_Field_En,Age_Group_En,Number_of_Trainees
0,2021,Medicine and Surgery,From 20 to 29,10799
1,2020,Medicine and Surgery,From 20 to 29,7971
2,2017,Medicine and Surgery,Unknown,7900
3,2018,Medicine and Surgery,Unknown,6909
4,2016,Medicine and Surgery,Unknown,6579
7,2019,Medicine and Surgery,Unknown,5598
8,2019,Medicine and Surgery,From 20 to 29,5403
11,2020,Medicine and Surgery,Unknown,4614
15,2021,Medicine and Surgery,Unknown,2822
16,2018,Medicine and Surgery,From 20 to 29,2758
17,2019,Medicine and Surgery,From 30 to 39,2700
19,2018,Medicine and Surgery,From 30 to 39,2531
20,2020,Medicine and Surgery,From 30 to 39,2281
21,2017,Medicine and Surgery,From 30 to 39,2203
22,2021,Medicine and Surgery,From 30 to 39,2150
24,2016,Medicine and Surgery,From 30 to 39,2045
25,2022,Medicine and Surgery,Unknown,1573
35,2021,Dentistry and Related Specialties,From 20 to 29,732
36,2017,Medicine and Surgery,From 20 to 29,533
37,2020,Dentistry and Related Specialties,From 20 to 29,517
38,2017,Medicine and Surgery,From 40 to 49,457
42,2016,Medicine and Surgery,From 20 to 29,391
43,2018,Medicine and Surgery,From 40 to 49,390
44,2022,Medicine and Surgery,From 30 to 39,382
45,2017,Dentistry and Related Specialties,Unknown,378
46,2016,Medicine and Surgery,From 40 to 49,366
51,2016,Dentistry and Related Specialties,Unknown,331
54,2018,Dentistry and Related Specialties,Unknown,321
56,2021,Nursing and Midwifery,From 20 to 29,297
60,2019,Dentistry and Related Specialties,Unknown,251
62,2019,Dentistry and Related Specialties,From 20 to 29,244
64,2019,Medicine and Surgery,From 40 to 49,240
65,2020,Nursing and Midwifery,From 30 to 39,238
67,2019,Nursing and Midwifery,From 30 to 39,223
68,2019,Dentistry and Related Specialties,From 30 to 39,215
69,2020,Nursing and Midwifery,From 20 to 29,212
70,2020,Dentistry and Related Specialties,From 30 to 39,194
71,2021,Nursing and Midwifery,From 30 to 39,190
73,2020,Medicine and Surgery,From 40 to 49,180
76,2018,Dentistry and Related Specialties,From 30 to 39,160
78,2017,Nursing and Midwifery,Unknown,157
79,2021,Dentistry and Related Specialties,From 30 to 39,156
80,2021,Pharmacists and Pharmacy Technicians,From 20 to 29,149
82,2021,Dentistry and Related Specialties,Unknown,141
83,2018,Nursing and Midwifery,Unknown,137
84,2020,Dentistry and Related Specialties,Unknown,129
85,2021,Medicine and Surgery,From 40 to 49,128
87,2022,Medicine and Surgery,From 20 to 29,126
90,2017,Dentistry and Related Specialties,From 30 to 39,120
91,2019,Nursing and Midwifery,From 20 to 29,117
93,2018,Nursing and Midwifery,From 30 to 39,102
94,2020,Pharmacists and Pharmacy Technicians,From 20 to 29,97
96,2016,Dentistry and Related Specialties,From 30 to 39,89
97,2018,Dentistry and Related Specialties,From 20 to 29,86
100,2019,Pharmacists and Pharmacy Technicians,From 20 to 29,75
101,2021,Laboratories and Medical Technology,From 30 to 39,65
102,2022,Medicine and Surgery,From 40 to 49,63
104,2020,Laboratories and Medical Technology,From 30 to 39,59
108,2017,Pharmacists and Pharmacy Technicians,Unknown,55
111,2022,Dentistry and Related Specialties,Unknown,47
112,2017,Dentistry and Related Specialties,From 40 to 49,46
113,2018,Pharmacists and Pharmacy Technicians,Unknown,46
114,2019,Laboratories and Medical Technology,From 30 to 39,44
115,2016,Pharmacists and Pharmacy Technicians,Unknown,44
117,2021,Laboratories and Medical Technology,From 20 to 29,43
118,2019,Pharmacists and Pharmacy Technicians,From 30 to 39,41
120,2018,Pharmacists and Pharmacy Technicians,From 20 to 29,41
122,2020,Pharmacists and Pharmacy Technicians,From 30 to 39,40
123,2016,Dentistry and Related Specialties,From 40 to 49,40
124,2021,Pharmacists and Pharmacy Technicians,From 30 to 39,39
125,2018,Nursing and Midwifery,From 20 to 29,38
128,2018,Pharmacists and Pharmacy Technicians,From 30 to 39,35
129,2019,Pharmacists and Pharmacy Technicians,Unknown,35
132,2017,Laboratories and Medical Technology,Unknown,31
135,2016,Pharmacists and Pharmacy Technicians,From 30 to 39,27
136,2017,Pharmacists and Pharmacy Technicians,From 30 to 39,26
139,2022,Pharmacists and Pharmacy Technicians,From 20 to 29,25
140,2018,Laboratories and Medical Technology,Unknown,25
142,2017,Medicine and Surgery,From 50 to 59,23
143,2018,Dentistry and Related Specialties,From 40 to 49,23
147,2017,Unknown,Unknown,21
148,2016,Unknown,Unknown,21
150,2019,Laboratories and Medical Technology,Unknown,20
151,2018,Medicine and Surgery,From 50 to 59,20
154,2016,Laboratories and Medical Technology,Unknown,19
155,2018,Unknown,Unknown,19
156,2017,Nursing and Midwifery,From 30 to 39,19
157,2016,Nursing and Midwifery,From 30 to 39,19
158,2018,Laboratories and Medical Technology,From 30 to 39,19
159,2020,Laboratories and Medical Technology,From 20 to 29,18
161,2020,Unknown,Unknown,18
164,2019,Medicine and Surgery,From 50 to 59,17
165,2019,Unknown,Unknown,16
