,Academic_Year,Current_Medical_Field_En,Current_Speciality_Name_En,Number_of_Trainees
0,2021,Medicine and Surgery,Internal Medicine,2581
1,2021,Medicine and Surgery,Family Medicine,2506
2,2020,Medicine and Surgery,Family Medicine,2440
3,2020,Medicine and Surgery,Internal Medicine,2213
4,2019,Medicine and Surgery,Family Medicine,2175
5,2019,Medicine and Surgery,Internal Medicine,1970
6,2018,Medicine and Surgery,Family Medicine,1877
7,2021,Medicine and Surgery,Pediatrics,1859
8,2020,Medicine and Surgery,Pediatrics,1694
9,2018,Medicine and Surgery,Internal Medicine,1483
10,2017,Medicine and Surgery,Family Medicine,1431
11,2019,Medicine and Surgery,Pediatrics,1408
12,2016,Medicine and Surgery,Family Medicine,1140
13,2021,Medicine and Surgery,Obstetrics & Gynecology,1063
14,2018,Medicine and Surgery,Pediatrics,1055
15,2021,Medicine and Surgery,General Surgery,1020
16,2020,Medicine and Surgery,Obstetrics & Gynecology,1019
17,2020,Medicine and Surgery,General Surgery,983
18,2017,Medicine and Surgery,Internal Medicine,979
19,2019,Medicine and Surgery,General Surgery,936
20,2019,Medicine and Surgery,Obstetrics & Gynecology,901
21,2018,Medicine and Surgery,General Surgery,889
22,2018,Medicine and Surgery,Obstetrics & Gynecology,800
23,2017,Medicine and Surgery,General Surgery,791
25,2017,Medicine and Surgery,Obstetrics & Gynecology,733
26,2017,Medicine and Surgery,Pediatrics,708
27,2016,Medicine and Surgery,General Surgery,686
28,2016,Medicine and Surgery,Internal Medicine,669
30,2021,Medicine and Surgery,Diagnostic Radiology,639
31,2016,Medicine and Surgery,Obstetrics & Gynecology,623
35,2021,Medicine and Surgery,Emergency Medicine,599
36,2020,Medicine and Surgery,Diagnostic Radiology,592
38,2020,Medicine and Surgery,Emergency Medicine,545
41,2021,Medicine and Surgery,Orthopedic Surgery,536
44,2016,Medicine and Surgery,Pediatrics,512
48,2019,Medicine and Surgery,Diagnostic Radiology,505
49,2020,Medicine and Surgery,Orthopedic Surgery,502
51,2021,Medicine and Surgery,Anesthesia,464
52,2019,Medicine and Surgery,Emergency Medicine,463
53,2021,Medicine and Surgery,Adult Critical Care Medicine,462
55,2019,Medicine and Surgery,Orthopedic Surgery,459
61,2018,Medicine and Surgery,Diagnostic Radiology,421
63,2020,Medicine and Surgery,Anesthesia,414
64,2018,Medicine and Surgery,Orthopedic Surgery,412
67,2020,Medicine and Surgery,Adult Critical Care Medicine,408
71,2018,Medicine and Surgery,Emergency Medicine,392
77,2019,Medicine and Surgery,Adult Critical Care Medicine,359
78,2019,Medicine and Surgery,Anesthesia,356
79,2017,Medicine and Surgery,Orthopedic Surgery,353
83,2021,Medicine and Surgery,Preventive Medicine,343
84,2018,Medicine and Surgery,Adult Critical Care Medicine,342
85,2017,Medicine and Surgery,Diagnostic Radiology,334
86,2017,Medicine and Surgery,Adult Critical Care Medicine,333
89,2017,Medicine and Surgery,Emergency Medicine,309
90,2021,Medicine and Surgery,Neurology,308
91,2018,Medicine and Surgery,Anesthesia,306
93,2016,Medicine and Surgery,Adult Critical Care Medicine,295
95,2020,Medicine and Surgery,Neurology,290
96,2020,Medicine and Surgery,Preventive Medicine,290
97,2016,Medicine and Surgery,Orthopedic Surgery,288
99,2021,Medicine and Surgery,Urology,278
100,2019,Medicine and Surgery,Otorhinolaryngology Head And Neck Surgery,276
101,2018,Medicine and Surgery,Otorhinolaryngology Head And Neck Surgery,276
102,2020,Medicine and Surgery,Urology,275
103,2016,Medicine and Surgery,Diagnostic Radiology,269
104,2021,Medicine and Surgery,Otorhinolaryngology Head And Neck Surgery,268
106,2020,Medicine and Surgery,Otorhinolaryngology Head And Neck Surgery,266
107,2019,Medicine and Surgery,Urology,257
108,2017,Medicine and Surgery,Otorhinolaryngology Head And Neck Surgery,257
111,2017,Medicine and Surgery,Anesthesia,249
115,2018,Medicine and Surgery,Urology,236
117,2016,Medicine and Surgery,Otorhinolaryngology Head And Neck Surgery,232
118,2016,Medicine and Surgery,Emergency Medicine,230
122,2017,Medicine and Surgery,Adult Cardiology,224
123,2019,Medicine and Surgery,Neurology,224
130,2021,Medicine and Surgery,Psychiatry,213
134,2021,Medicine and Surgery,Ophthalmology,206
138,2020,Medicine and Surgery,Psychiatry,202
139,2019,Medicine and Surgery,Preventive Medicine,202
141,2017,Medicine and Surgery,Urology,200
142,2016,Medicine and Surgery,Anesthesia,200
145,2019,Medicine and Surgery,Psychiatry,197
146,2016,Medicine and Surgery,Adult Cardiology,196
147,2016,Medicine and Surgery,Adults Endocrinology & Metabolism,196
148,2017,Medicine and Surgery,Adults Endocrinology & Metabolism,194
149,2018,Medicine and Surgery,Adult Cardiology,193
152,2018,Medicine and Surgery,Neurology,191
159,2022,Medicine and Surgery,Adult Cardiology,174
160,2018,Medicine and Surgery,Psychiatry,173
161,2016,Medicine and Surgery,Urology,172
162,2017,Medicine and Surgery,Neurology,170
164,2020,Medicine and Surgery,Ophthalmology,169
169,2018,Medicine and Surgery,Adults Endocrinology & Metabolism,163
171,2021,Dentistry and Related Specialties,Orthodontic and Dentofacial Orthopedics,162
174,2021,Pharmacists and Pharmacy Technicians,Clinical Pharmacy,159
175,2017,Medicine and Surgery,Psychiatry,158
177,2019,Medicine and Surgery,Adult Cardiology,156
178,2016,Medicine and Surgery,Pediatrics Emergency Medicine,155
179,2017,Medicine and Surgery,Gastroenterology,154
180,2017,Medicine and Surgery,Adult Hematology,154
181,2021,Dentistry and Related Specialties,Restorative Dentistry,153
183,2021,Nursing and Midwifery,Emergency Nursing,150
185,2021,Nursing and Midwifery,Adult Critical Care Nursing,149
186,2016,Medicine and Surgery,Gastroenterology,149
187,2017,Medicine and Surgery,Pediatrics Emergency Medicine,149
188,2021,Dentistry and Related Specialties,Endodontics,149
189,2021,Medicine and Surgery,Dermatology,148
190,2020,Medicine and Surgery,Dermatology,148
192,2019,Medicine and Surgery,Dermatology,146
194,2020,Nursing and Midwifery,Adult Critical Care Nursing,145
195,2018,Medicine and Surgery,Dermatology,143
196,2017,Medicine and Surgery,Dermatology,143
198,2016,Medicine and Surgery,Adult Hematology,141
204,2020,Dentistry and Related Specialties,Orthodontic and Dentofacial Orthopedics,138
207,2021,Medicine and Surgery,Clinical Neurosurgery,138
208,2018,Medicine and Surgery,Gastroenterology,137
209,2021,Medicine and Surgery,Adult Cardiology,136
211,2017,Medicine and Surgery,Adult Infectious Diseases,134
213,2019,Dentistry and Related Specialties,Restorative Dentistry,133
215,2019,Medicine and Surgery,Ophthalmology,133
216,2020,Dentistry and Related Specialties,Restorative Dentistry,133
217,2019,Medicine and Surgery,Adults Endocrinology & Metabolism,132
218,2016,Medicine and Surgery,Adult Infectious Diseases,132
219,2020,Medicine and Surgery,Clinical Neurosurgery,131
224,2018,Dentistry and Related Specialties,Restorative Dentistry,129
225,2020,Nursing and Midwifery,Emergency Nursing,128
226,2016,Medicine and Surgery,Neurology,127
227,2018,Medicine and Surgery,Pediatrics Emergency Medicine,127
229,2020,Medicine and Surgery,Adult Cardiology,127
231,2018,Medicine and Surgery,Adult Hematology,125
233,2016,Medicine and Surgery,Psychiatry,123
235,2018,Medicine and Surgery,Preventive Medicine,123
238,2016,Medicine and Surgery,Community Medicine (Health Informatics),122
240,2020,Dentistry and Related Specialties,Endodontics,121
241,2021,Dentistry and Related Specialties,Pediatric Dentistry,120
244,2019,Medicine and Surgery,Clinical Neurosurgery,119
245,2017,Dentistry and Related Specialties,Restorative Dentistry,118
248,2018,Medicine and Surgery,Adult Infectious Diseases,116
251,2019,Medicine and Surgery,Gastroenterology,115
252,2019,Nursing and Midwifery,Adult Critical Care Nursing,115
254,2019,Dentistry and Related Specialties,Orthodontic and Dentofacial Orthopedics,114
255,2022,Medicine and Surgery,Adult Critical Care Medicine,114
256,2021,Dentistry and Related Specialties,Implant Dentistry,114
258,2019,Dentistry and Related Specialties,Endodontics,114
261,2021,Medicine and Surgery,Anatomic Pathology,113
262,2020,Pharmacists and Pharmacy Technicians,Clinical Pharmacy,112
263,2016,Medicine and Surgery,Dermatology,112
265,2021,Dentistry and Related Specialties,Prosthodontics,112
267,2017,Medicine and Surgery,Adult Respiratory Medicine,111
268,2017,Medicine and Surgery,Adult Nephrology,111
270,2021,Medicine and Surgery,Pediatric Neurology,110
271,2019,Medicine and Surgery,Adult Hematology,109
272,2016,Medicine and Surgery,Diabetes​,109
274,2018,Medicine and Surgery,Clinical Neurosurgery,108
275,2017,Medicine and Surgery,Diabetes​,108
276,2020,Medicine and Surgery,Anatomic Pathology,107
277,2019,Medicine and Surgery,Adult Infectious Diseases,107
280,2016,Medicine and Surgery,Adult Nephrology,106
282,2018,Medicine and Surgery,Anatomic Pathology,105
285,2016,Dentistry and Related Specialties,Endodontics,105
286,2020,Medicine and Surgery,Adults Endocrinology & Metabolism,105
287,2020,Medicine and Surgery,Pediatric Neurology,104
292,2017,Medicine and Surgery,Perinatal Neonatal Medicine,102
294,2018,Dentistry and Related Specialties,Endodontics,102
296,2019,Medicine and Surgery,Anatomic Pathology,102
305,2020,Medicine and Surgery,Gastroenterology,101
306,2018,Medicine and Surgery,Adult Nephrology,100
307,2016,Medicine and Surgery,Adult Respiratory Medicine,100
308,2017,Medicine and Surgery,Community Medicine (Health Informatics),99
309,2019,Medicine and Surgery,Pediatric Neurology,99
310,2017,Dentistry and Related Specialties,Endodontics,99
312,2018,Nursing and Midwifery,Adult Critical Care Nursing,99
313,2017,Medicine and Surgery,Clinical Neurosurgery,98
314,2017,Medicine and Surgery,Adult Rheumatology,98
315,2020,Dentistry and Related Specialties,Prosthodontics,98
321,2019,Nursing and Midwifery,Emergency Nursing,97
322,2022,Medicine and Surgery,Gastroenterology,96
323,2016,Medicine and Surgery,Perinatal Neonatal Medicine,96
326,2019,Medicine and Surgery,Pediatrics Emergency Medicine,94
328,2017,Medicine and Surgery,Anatomic Pathology,94
329,2016,Medicine and Surgery,Adult Rheumatology,93
330,2016,Dentistry and Related Specialties,Restorative Dentistry,93
332,2019,Dentistry and Related Specialties,Prosthodontics,93
335,2018,Medicine and Surgery,Diabetes​,92
336,2018,Medicine and Surgery,Adult Respiratory Medicine,91
338,2018,Medicine and Surgery,Pediatric Neurology,91
339,2022,Medicine and Surgery,Adults Endocrinology & Metabolism,91
340,2022,Medicine and Surgery,Diabetes​,91
343,2017,Medicine and Surgery,Pediatric Gastroenterology And Nutrition,90
347,2018,Medicine and Surgery,Ophthalmology,89
350,2017,Medicine and Surgery,Pediatric Hematology & Oncology,89
359,2016,Medicine and Surgery,Pediatrics Intensive Care,87
360,2020,Dentistry and Related Specialties,Pediatric Dentistry,86
361,2021,Medicine and Surgery,Gastroenterology,86
362,2019,Medicine and Surgery,Adult Nephrology,86
363,2020,Medicine and Surgery,Pediatrics Emergency Medicine,85
364,2022,Medicine and Surgery,Pediatrics Emergency Medicine,85
367,2021,Medicine and Surgery,Adults Endocrinology & Metabolism,85
375,2022,Medicine and Surgery,Adult Hematology,83
376,2018,Medicine and Surgery,Perinatal Neonatal Medicine,83
377,2019,Dentistry and Related Specialties,Pediatric Dentistry,83
382,2017,Medicine and Surgery,General Medical Oncology,82
385,2016,Medicine and Surgery,Pediatric Hematology & Oncology,81
386,2016,Medicine and Surgery,Clinical Neurosurgery,81
388,2018,Medicine and Surgery,Pediatric Hematology & Oncology,81
392,2017,Medicine and Surgery,Pediatrics Intensive Care,80
395,2018,Dentistry and Related Specialties,Orthodontic and Dentofacial Orthopedics,80
396,2022,Medicine and Surgery,Adult Infectious Diseases,80
398,2021,Medicine and Surgery,Diabetes​,80
400,2018,Medicine and Surgery,Adult Rheumatology,79
401,2017,Medicine and Surgery,Pediatric Neurology,79
402,2020,Medicine and Surgery,Adult Hematology,79
405,2019,Medicine and Surgery,Diabetes​,79
406,2016,Medicine and Surgery,Pediatric Gastroenterology And Nutrition,79
407,2018,Medicine and Surgery,Pediatric Gastroenterology And Nutrition,78
408,2021,Medicine and Surgery,Pediatrics Emergency Medicine,78
411,2017,Medicine and Surgery,Pediatric Endocrinology And Metabolism,76
412,2016,Medicine and Surgery,Pediatric Endocrinology And Metabolism,76
414,2019,Medicine and Surgery,Adult Respiratory Medicine,76
415,2019,Medicine and Surgery,Perinatal Neonatal Medicine,75
417,2018,Dentistry and Related Specialties,Prosthodontics,75
424,2017,Dentistry and Related Specialties,Orthodontic and Dentofacial Orthopedics,74
426,2016,Medicine and Surgery,Anatomic Pathology,73
427,2020,Medicine and Surgery,Adult Nephrology,73
430,2020,Medicine and Surgery,Adult Infectious Diseases,72
431,2017,Medicine and Surgery,Pediatric Cardiology,72
434,2018,Medicine and Surgery,General Medical Oncology,72
437,2016,Medicine and Surgery,General Medical Oncology,71
438,2019,Medicine and Surgery,Pediatric Gastroenterology And Nutrition,71
439,2020,Medicine and Surgery,Diabetes​,71
442,2018,Nursing and Midwifery,Emergency Nursing,70
443,2018,Medicine and Surgery,Pediatric Endocrinology And Metabolism,70
444,2022,Medicine and Surgery,Adult Nephrology,70
448,2020,Nursing and Midwifery,Oncology Nursing,69
451,2017,Dentistry and Related Specialties,Pediatric Dentistry,69
459,2020,Dentistry and Related Specialties,Implant Dentistry,68
461,2017,Medicine and Surgery,Pediatrics Infectious Diseases,68
462,2019,Medicine and Surgery,Adult Rheumatology,68
466,2022,Medicine and Surgery,Pediatric Hematology & Oncology,67
467,2016,Medicine and Surgery,Pediatric Neurology,67
469,2020,Dentistry and Related Specialties,Periodontics,66
471,2020,Medicine and Surgery,Perinatal Neonatal Medicine,66
472,2020,Nursing and Midwifery,Cardiac Care Nursing,66
473,2017,Dentistry and Related Specialties,Prosthodontics,66
474,2021,Dentistry and Related Specialties,Periodontics,66
476,2016,Dentistry and Related Specialties,Orthodontic and Dentofacial Orthopedics,65
477,2018,Nursing and Midwifery,Cardiac Care Nursing,65
483,2020,Medicine and Surgery,Adult Respiratory Medicine,64
484,2017,Medicine and Surgery,Preventive Medicine,64
485,2018,Dentistry and Related Specialties,Pediatric Dentistry,64
487,2018,Medicine and Surgery,Infection Control,63
489,2016,Medicine and Surgery,Pediatrics Infectious Diseases,63
490,2021,Nursing and Midwifery,Cardiac Care Nursing,62
492,2019,Dentistry and Related Specialties,Periodontics,62
494,2022,Medicine and Surgery,Pediatrics Intensive Care,62
495,2021,Medicine and Surgery,Adult Hematology,61
497,2021,Dentistry and Related Specialties,Family Dentistry,61
501,2016,Medicine and Surgery,Pediatric Cardiology,61
504,2017,Medicine and Surgery,Body Imaging & Non-Vascular Intervention,60
505,2022,Medicine and Surgery,Perinatal Neonatal Medicine,60
507,2019,Pharmacists and Pharmacy Technicians,Clinical Pharmacy,60
508,2021,Medicine and Surgery,Adult Respiratory Medicine,60
510,2021,Medicine and Surgery,Pediatric Surgery,60
511,2018,Medicine and Surgery,Pediatrics Intensive Care,60
512,2021,Dentistry and Related Specialties,Oral And Maxillofacial Surgery,60
515,2020,Medicine and Surgery,Pediatric Gastroenterology And Nutrition,59
517,2017,Nursing and Midwifery,Adult Critical Care Nursing,59
519,2016,Medicine and Surgery,Palliative Care Medicine,59
520,2019,Medicine and Surgery,Pediatric Hematology & Oncology,59
521,2021,Medicine and Surgery,Saudi Postgraduate Diploma In Emergency Medicine,59
522,2018,Medicine and Surgery,Pediatric Cardiology,59
523,2018,Medicine and Surgery,Pediatrics Infectious Diseases,58
525,2020,Medicine and Surgery,Physical Medicine And Rehabilitation,58
526,2019,Nursing and Midwifery,Cardiac Care Nursing,58
527,2022,Medicine and Surgery,Pediatric Gastroenterology And Nutrition,58
530,2022,Medicine and Surgery,Saudi Postgraduate Diploma In Paediatrics,57
532,2020,Medicine and Surgery,Pediatric Hematology & Oncology,57
533,2022,Medicine and Surgery,Adult Respiratory Medicine,57
534,2017,Medicine and Surgery,Palliative Care Medicine,57
535,2021,Medicine and Surgery,Cardiac Surgery,57
537,2020,Medicine and Surgery,Pediatric Surgery,57
538,2021,Medicine and Surgery,Adult Nephrology,57
540,2017,Medicine and Surgery,Interventional Neuro-Radiology,57
542,2021,Medicine and Surgery,Adult Infectious Diseases,56
544,2021,Medicine and Surgery,Physical Medicine And Rehabilitation,56
545,2016,Medicine and Surgery,Body Imaging & Non-Vascular Intervention,56
547,2021,Laboratories and Medical Technology,Radiology Technology & Medical Imaging,56
550,2016,Dentistry and Related Specialties,Pediatric Dentistry,55
552,2019,Medicine and Surgery,Physical Medicine And Rehabilitation,55
554,2019,Medicine and Surgery,General Medical Oncology,55
555,2019,Medicine and Surgery,Infection Control,55
558,2021,Medicine and Surgery,Saudi Postgraduate Diploma In Paediatrics,55
559,2016,Medicine and Surgery,Forensic Medicine,54
560,2019,Medicine and Surgery,Pediatric Endocrinology And Metabolism,54
562,2021,Nursing and Midwifery,Oncology Nursing,54
563,2017,Medicine and Surgery,Forensic Medicine,54
564,2019,Medicine and Surgery,Pediatric Cardiology,53
566,2019,Medicine and Surgery,Pediatrics Intensive Care,53
567,2021,Medicine and Surgery,Pediatrics Intensive Care,53
571,2019,Dentistry and Related Specialties,Oral And Maxillofacial Surgery,53
572,2022,Medicine and Surgery,Saudi Postgraduate Diploma In Emergency Medicine,53
575,2018,Dentistry and Related Specialties,Periodontics,52
578,2018,Medicine and Surgery,Forensic Medicine,52
579,2020,Medicine and Surgery,Adult Rheumatology,52
580,2020,Medicine and Surgery,Cardiac Surgery,52
581,2017,Medicine and Surgery,Ophthalmology,52
582,2021,Medicine and Surgery,Pediatric Hematology & Oncology,52
583,2016,Medicine and Surgery,Plastic Surgery,52
584,2017,Dentistry and Related Specialties,Periodontics,52
586,2021,Medicine and Surgery,Perinatal Neonatal Medicine,52
590,2020,Dentistry and Related Specialties,Oral And Maxillofacial Surgery,51
592,2018,Medicine and Surgery,Body Imaging & Non-Vascular Intervention,51
593,2022,Dentistry and Related Specialties,Implant Dentistry,51
595,2021,Medicine and Surgery,Plastic Surgery,51
596,2019,Medicine and Surgery,Pediatric Surgery,51
597,2018,Medicine and Surgery,Community Medicine (Health Informatics),51
598,2019,Medicine and Surgery,Cardiac Surgery,51
599,2021,Medicine and Surgery,Pediatric Gastroenterology And Nutrition,51
600,2019,Nursing and Midwifery,Oncology Nursing,50
601,2020,Dentistry and Related Specialties,Advanced Education In General Dentistry,50
605,2020,Medicine and Surgery,Pediatric Cardiology,50
607,2017,Medicine and Surgery,Pediatric Nephrology,49
610,2018,Medicine and Surgery,Physical Medicine And Rehabilitation,49
612,2018,Medicine and Surgery,Interventional Neuro-Radiology,49
613,2020,Medicine and Surgery,Forensic Medicine,49
614,2020,Medicine and Surgery,Pediatric Endocrinology And Metabolism,48
615,2020,Medicine and Surgery,Pediatrics Intensive Care,48
617,2018,Dentistry and Related Specialties,Oral And Maxillofacial Surgery,48
618,2018,Medicine and Surgery,Plastic Surgery,48
620,2018,Medicine and Surgery,Cardiac Surgery,48
622,2017,Medicine and Surgery,Pediatric Surgery,48
623,2019,Medicine and Surgery,Pediatrics Infectious Diseases,48
624,2019,Medicine and Surgery,Forensic Medicine,48
626,2019,Medicine and Surgery,Plastic Surgery,47
629,2016,Medicine and Surgery,Pediatric Surgery,47
633,2017,Dentistry and Related Specialties,Oral And Maxillofacial Surgery,46
634,2022,Medicine and Surgery,Pediatric Cardiology,46
635,2018,Medicine and Surgery,Palliative Care Medicine,46
636,2021,Medicine and Surgery,Forensic Medicine,46
638,2016,Medicine and Surgery,Interventional Neuro-Radiology,46
639,2017,Medicine and Surgery,Plastic Surgery,46
641,2022,Medicine and Surgery,Palliative Care Medicine,46
642,2018,Medicine and Surgery,Pediatric Surgery,46
644,2021,Medicine and Surgery,General Medical Oncology,46
649,2020,Medicine and Surgery,Plastic Surgery,45
