,Academic_Year,Current_Medical_Field_En,Current_Program_Name_En,Total_Trainees,Graduated_Trainees,Success_Rate
1,2016,Medicine and Surgery,Movement Disorder,3,3,1.0
9,2018,Medicine and Surgery,Obstetric Anaesthesiology,3,3,1.0
10,2017,Medicine and Surgery,Movement Disorder,3,3,1.0
11,2020,Medicine and Surgery,Musculoskeletal Oncology Fellowship,3,3,1.0
12,2021,Medicine and Surgery,Adult Psychosomatic Medicine,3,3,1.0
13,2018,Medicine and Surgery,Child And Adolescent Psychiatry,3,3,1.0
16,2016,Medicine and Surgery,Orthopedic Trauma Surgery,3,3,1.0
17,2017,Medicine and Surgery,Child And Adolescent Psychiatry,3,3,1.0
19,2016,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Pediatric,3,3,1.0
20,2019,Medicine and Surgery,Pediatric Neurosurgery,3,3,1.0
24,2021,Dentistry and Related Specialties,Dental Implant,3,3,1.0
27,2018,Medicine and Surgery,Pediatric Rhino-Otolaryngology,4,4,1.0
29,2020,Medicine and Surgery,Pediatrics Urology,4,4,1.0
30,2019,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Internal Medicine,4,4,1.0
32,2017,Medicine and Surgery,Pediatric Rhino-Otolaryngology,4,4,1.0
34,2020,Dentistry and Related Specialties,Restorative Dentistry - 3 Years Track,4,4,1.0
38,2019,Medicine and Surgery,Pediatric Rhino-Otolaryngology,4,4,1.0
39,2020,Medicine and Surgery,Pediatric Rhino-Otolaryngology,3,3,1.0
40,2016,Medicine and Surgery,Pediatric Rhino-Otolaryngology,4,4,1.0
43,2016,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Nephrology,4,4,1.0
44,2019,Medicine and Surgery,Vascular Surgery,4,4,1.0
45,2021,Medicine and Surgery,Adult Allergy & Immunology,4,4,1.0
47,2020,Medicine and Surgery,Vascular Surgery,4,4,1.0
48,2020,Medicine and Surgery,Movement Disorder,4,4,1.0
49,2020,Medicine and Surgery,Adult Psychosomatic Medicine,3,3,1.0
50,2021,Medicine and Surgery,Emergency Medicine Diploma,3,3,1.0
54,2019,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Solid Organ Transplant,2,2,1.0
55,2021,Medicine and Surgery,Movement Disorder,2,2,1.0
56,2018,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Parental Nutrition,2,2,1.0
57,2020,Medicine and Surgery,Pediatric Echocardioghraphy,2,2,1.0
58,2021,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Solid Organ Transplant,2,2,1.0
65,2020,Medicine and Surgery,Clinical Neurophysiology,2,2,1.0
76,2019,Medicine and Surgery,Orthopedic Trauma Surgery,2,2,1.0
77,2021,Medicine and Surgery,Pediatrics Urology,2,2,1.0
78,2021,Medicine and Surgery,Body Imaging& Non-Vascular Intervention,3,3,1.0
81,2021,Medicine and Surgery,Breast And Endocrine Surgical Oncology,3,3,1.0
82,2020,Medicine and Surgery,Arthroscopy And Orthopaedic Sport Injuries,3,3,1.0
85,2021,Medicine and Surgery,Ultrasound In Obstetrics & Gynecology,3,3,1.0
89,2021,Medicine and Surgery,Child And Adolescent Psychiatry,3,3,1.0
90,2016,Medicine and Surgery,Child And Adolescent Psychiatry,3,3,1.0
91,2020,Medicine and Surgery,Breast And Gynecologic Pathology,2,2,1.0
92,2020,Medicine and Surgery,Pediatric Stem Cell Transplantation,2,2,1.0
93,2021,Medicine and Surgery,Pediatric Orthopedic Surgery,2,2,1.0
94,2021,Medicine and Surgery,Vascular Surgery,2,2,1.0
95,2019,Medicine and Surgery,Movement Disorder,2,2,1.0
96,2020,Medicine and Surgery,Adult Stem Cell Transplantation,2,2,1.0
97,2020,Medicine and Surgery,Pediatric Neurosurgery,2,2,1.0
98,2020,Medicine and Surgery,Renal Transplant Surgery,2,2,1.0
99,2021,Medicine and Surgery,Musculoskeletal Oncology Fellowship,2,2,1.0
100,2021,Medicine and Surgery,Pediatric Rhino-Otolaryngology,2,2,1.0
101,2021,Medicine and Surgery,Renal Transplant Surgery,2,2,1.0
102,2019,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Drug Information,4,4,1.0
103,2021,Medicine and Surgery,Reproductive Medicine & Surgery,4,4,1.0
105,2021,Medicine and Surgery,Adult & Pediatric Orthopedic Spinal Surgery,8,8,1.0
107,2021,Medicine and Surgery,Clinical Genetics & Metabolic Disorders,10,10,1.0
108,2019,Medicine and Surgery,Reproductive Medicine & Surgery,9,9,1.0
109,2020,Unknown,Nuclear Medicine,9,9,1.0
110,2019,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Pediatric,9,9,1.0
111,2018,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Internal Medicine,8,8,1.0
112,2017,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Critical Care,8,8,1.0
113,2021,Medicine and Surgery,Musculoskeletal Imaging,8,8,1.0
114,2017,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Pediatric,8,8,1.0
116,2020,Medicine and Surgery,Reproductive Medicine & Surgery,8,8,1.0
117,2021,Medicine and Surgery,Pediatric Cardiology,11,11,1.0
118,2020,Laboratories and Medical Technology,Saudi Diploma In Blood Banking And Transfusion,8,8,1.0
120,2020,Medicine and Surgery,Adult Allergy & Immunology,8,8,1.0
121,2020,Dentistry and Related Specialties,Dental Implant,8,8,1.0
122,2016,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Critical Care,7,7,1.0
124,2020,Medicine and Surgery,Child And Adolescent Psychiatry,7,7,1.0
129,2018,Dentistry and Related Specialties,Dental Implant,11,11,1.0
131,2017,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Oncology,14,14,1.0
132,2018,Medicine and Surgery,Vascular And Interventional Radiology,24,24,1.0
137,2019,Medicine and Surgery,Vascular And Interventional Radiology,18,18,1.0
138,2021,Medicine and Surgery,Palliative Medicine,17,17,1.0
139,2017,Dentistry and Related Specialties,Dental Implant,16,16,1.0
