,Region_Name_En,City_Name_En,Current_Training_Center_Name_En,Current_Program_Name_En,Current_Speciality_Name_En,Region_Centroid,City_Longitude,City_Latitude,Training_Center_Longitude,Training_Center_Latitude
0,Riyadh,Riyadh,Security Forces Hospital in Riyadh,Obstetrics & Gynecology,Obstetrics & Gynecology,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
1,Makkah,Jeddah,Maternity and Children Hospital in Jeddah,Obstetrics & Gynecology,Obstetrics & Gynecology,POINT (39.91800768330813 21.50947859338701),39.192505,21.485811,39.362754,21.4222327
2,Eastern Province,Hofuf,King Fahad Hospital in Hofuf,Obstetrics & Gynecology,Obstetrics & Gynecology,POINT (48.23088037524295 27.01831695320538),49.588765,25.380026,49.5142036,25.332395
3,Makkah,Jeddah,King Fahd General Hospital in Jeddah,Internal Medicine,Internal Medicine,POINT (39.91800768330813 21.50947859338701),39.192505,21.485811,39.362754,21.4222327
4,Eastern Province,Alqatif  ,AlQatif Central Hospital,Obstetrics & Gynecology,Obstetrics & Gynecology,POINT (48.23088037524295 27.01831695320538),49.998236,26.576492,50.1506389,26.2846113
5,Riyadh,Riyadh,Prince Sultan Military Medical City in Riyadh,Internal Medicine,Internal Medicine,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
6,Makkah,Taif,Armed Forces Hospital in Al-Hada in Taif,Internal Medicine,Internal Medicine,POINT (39.91800768330813 21.50947859338701),40.424819,21.284078,40.412451,21.2401719
7,Al Madinah,Madinah,Maternity and Children Hospital in Medina,Obstetrics & Gynecology,Obstetrics & Gynecology,POINT (39.56226489806622 24.86058870299565),39.569184,24.524654,38.194309,24.0204254
8,Riyadh,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Internal Medicine,Internal Medicine,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
9,Riyadh,Riyadh,King Khalid University Hospital in Riyadh,Internal Medicine,Internal Medicine,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
10,Riyadh,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Internal Medicine,Internal Medicine,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
11,Riyadh,Riyadh,Dallah Hospital in Riyadh,Internal Medicine,Internal Medicine,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
12,Al Madinah,Madinah,King Fahd Hospital in Medina,Internal Medicine,Internal Medicine,POINT (39.56226489806622 24.86058870299565),39.569184,24.524654,38.194309,24.0204254
13,Makkah,Makkah,Alnoor Specialist Hospital in Mecca,Internal Medicine,Internal Medicine,POINT (39.91800768330813 21.50947859338701),39.857912,21.389082,39.94124,21.331945
14,Makkah,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Internal Medicine,Internal Medicine,POINT (39.91800768330813 21.50947859338701),39.192505,21.485811,39.362754,21.4222327
15,Makkah,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Obstetrics & Gynecology,Obstetrics & Gynecology,POINT (39.91800768330813 21.50947859338701),39.192505,21.485811,39.362754,21.4222327
16,Eastern Province,Dammam,Maternity and Children Hospital in Dammam,Obstetrics & Gynecology,Obstetrics & Gynecology,POINT (48.23088037524295 27.01831695320538),50.088794,26.420683,50.1506389,26.2846113
17,Riyadh,Riyadh,King Saud Medical City in Riyadh,Obstetrics & Gynecology,Obstetrics & Gynecology,POINT (45.61820131453023 23.06734035002238),46.675296,24.713552,46.6375541,24.7414432
18,Makkah,Jeddah,King Abdulaziz Hospital in Jeddah,Internal Medicine,Internal Medicine,POINT (39.91800768330813 21.50947859338701),39.192505,21.485811,39.362754,21.4222327
