,University_Name,geometry.location.lat,geometry.location.lng,Academic_Year,Current_Training_Center_Name_En,Number_of_Trainees,Center_longitude,Center_latitude
0,King Abdulaziz University,21.4932675,39.2391473,2017,King Abdulaziz University Hospital in Jeddah,289,39.192505,21.485811
1,King Abdulaziz University,21.4932675,39.2391473,2016,King Abdulaziz University Hospital in Jeddah,265,39.192505,21.485811
2,King Abdulaziz University,21.4932675,39.2391473,2018,King Abdulaziz University Hospital in Jeddah,223,39.192505,21.485811
3,King Abdulaziz University,21.4932675,39.2391473,2017,King Abdulaziz Medical City for National Guard in Jeddah,184,39.192505,21.485811
4,King Abdulaziz University,21.4932675,39.2391473,2019,King Abdulaziz University Hospital in Jeddah,180,39.192505,21.485811
5,King Abdulaziz University,21.4932675,39.2391473,2016,King Abdulaziz Medical City for National Guard in Jeddah,176,39.192505,21.485811
6,King Abdulaziz University,21.4932675,39.2391473,2018,King Abdulaziz Medical City for National Guard in Jeddah,145,39.192505,21.485811
7,King Abdulaziz University,21.4932675,39.2391473,2019,King Abdulaziz Medical City for National Guard in Jeddah,117,39.192505,21.485811
8,King Abdulaziz University,21.4932675,39.2391473,2020,King Abdulaziz University Hospital in Jeddah,104,39.192505,21.485811
9,King Abdulaziz University,21.4932675,39.2391473,2017,King Faisal Specialist Hospital and Research Center in Jeddah,104,39.192505,21.485811
10,King Abdulaziz University,21.4932675,39.2391473,2016,King Faisal Specialist Hospital and Research Center in Jeddah,99,39.192505,21.485811
11,King Abdulaziz University,21.4932675,39.2391473,2017,King Fahd Hospital of Armed Forces in Jeddah,98,39.192505,21.485811
12,King Abdulaziz University,21.4932675,39.2391473,2020,King Abdulaziz Medical City for National Guard in Jeddah,91,39.192505,21.485811
13,King Abdulaziz University,21.4932675,39.2391473,2017,King Fahd General Hospital in Jeddah,86,39.192505,21.485811
14,King Abdulaziz University,21.4932675,39.2391473,2018,King Fahd Hospital of Armed Forces in Jeddah,85,39.192505,21.485811
15,King Abdulaziz University,21.4932675,39.2391473,2016,King Fahd General Hospital in Jeddah,79,39.192505,21.485811
16,King Abdulaziz University,21.4932675,39.2391473,2016,King Fahd Hospital of Armed Forces in Jeddah,79,39.192505,21.485811
17,King Abdulaziz University,21.4932675,39.2391473,2018,King Faisal Specialist Hospital and Research Center in Jeddah,77,39.192505,21.485811
18,King Abdulaziz University,21.4932675,39.2391473,2019,King Fahd Hospital of Armed Forces in Jeddah,74,39.192505,21.485811
19,King Abdulaziz University,21.4932675,39.2391473,2018,King Fahd General Hospital in Jeddah,73,39.192505,21.485811
20,King Abdulaziz University,21.4932675,39.2391473,2016,King Faisal Specialist Hospital and Research Center in Riyadh,73,46.675296,24.713552
21,King Abdulaziz University,21.4932675,39.2391473,2017,King Faisal Specialist Hospital and Research Center in Riyadh,72,46.675296,24.713552
22,King Abdulaziz University,21.4932675,39.2391473,2019,King Faisal Specialist Hospital and Research Center in Jeddah,62,39.192505,21.485811
23,King Abdulaziz University,21.4932675,39.2391473,2018,JointProgram for Family Medicine in Jeddah,58,39.192505,21.485811
24,King Abdulaziz University,21.4932675,39.2391473,2017,JointProgram for Family Medicine in Jeddah,58,39.192505,21.485811
25,King Abdulaziz University,21.4932675,39.2391473,2020,King Fahd Hospital of Armed Forces in Jeddah,55,39.192505,21.485811
26,King Abdulaziz University,21.4932675,39.2391473,2019,King Fahd General Hospital in Jeddah,53,39.192505,21.485811
27,King Abdulaziz University,21.4932675,39.2391473,2018,King Faisal Specialist Hospital and Research Center in Riyadh,52,46.675296,24.713552
28,King Abdulaziz University,21.4932675,39.2391473,2021,King Abdulaziz University Hospital in Jeddah,51,39.192505,21.485811
29,King Abdulaziz University,21.4932675,39.2391473,2021,King Abdulaziz Medical City for National Guard in Jeddah,50,39.192505,21.485811
30,King Abdulaziz University,21.4932675,39.2391473,2020,King Faisal Specialist Hospital and Research Center in Jeddah,49,39.192505,21.485811
31,King Abdulaziz University,21.4932675,39.2391473,2016,King Abdulaziz Medical City for National Guard in Riyadh,48,46.675296,24.713552
32,King Abdulaziz University,21.4932675,39.2391473,2017,King Abdulaziz Medical City for National Guard in Riyadh,44,46.675296,24.713552
33,King Abdulaziz University,21.4932675,39.2391473,2016,King Abdulaziz Hospital in Jeddah,44,39.192505,21.485811
34,King Abdulaziz University,21.4932675,39.2391473,2019,JointProgram for Family Medicine in Jeddah,43,39.192505,21.485811
35,King Abdulaziz University,21.4932675,39.2391473,2020,King Faisal Specialist Hospital and Research Center in Riyadh,41,46.675296,24.713552
36,King Abdulaziz University,21.4932675,39.2391473,2022,King Abdulaziz Medical City for National Guard in Jeddah,41,39.192505,21.485811
37,King Abdulaziz University,21.4932675,39.2391473,2017,King Abdulaziz Hospital in Jeddah,36,39.192505,21.485811
38,King Abdulaziz University,21.4932675,39.2391473,2021,King Faisal Specialist Hospital and Research Center in Riyadh,36,46.675296,24.713552
39,King Abdulaziz University,21.4932675,39.2391473,2016,JointProgram for Family Medicine in Jeddah,35,39.192505,21.485811
40,King Abdulaziz University,21.4932675,39.2391473,2018,King Abdulaziz Medical City for National Guard in Riyadh,35,46.675296,24.713552
41,King Abdulaziz University,21.4932675,39.2391473,2016,King Fahad Medical City in Riyadh,35,46.675296,24.713552
42,King Abdulaziz University,21.4932675,39.2391473,2019,King Faisal Specialist Hospital and Research Center in Riyadh,35,46.675296,24.713552
43,King Abdulaziz University,21.4932675,39.2391473,2019,King Abdulaziz Medical City for National Guard in Riyadh,35,46.675296,24.713552
44,King Abdulaziz University,21.4932675,39.2391473,2020,King Fahd General Hospital in Jeddah,34,39.192505,21.485811
45,King Abdulaziz University,21.4932675,39.2391473,2020,King Abdulaziz Medical City for National Guard in Riyadh,33,46.675296,24.713552
46,King Abdulaziz University,21.4932675,39.2391473,2017,King Fahad Medical City in Riyadh,32,46.675296,24.713552
47,King Abdulaziz University,21.4932675,39.2391473,2017,King Abdullah Medical City in the Holy Capital,32,39.857912,21.389082
48,King Abdulaziz University,21.4932675,39.2391473,2017,Prince Sultan Military Medical City in Riyadh,32,46.675296,24.713552
49,King Abdulaziz University,21.4932675,39.2391473,2021,King Faisal Specialist Hospital and Research Center in Jeddah,32,39.192505,21.485811
50,King Abdulaziz University,21.4932675,39.2391473,2018,King Abdulaziz Hospital in Jeddah,31,39.192505,21.485811
51,King Abdulaziz University,21.4932675,39.2391473,2016,Prince Sultan Military Medical City in Riyadh,31,46.675296,24.713552
52,King Abdulaziz University,21.4932675,39.2391473,2016,Joint Program for Family and Community Medicine - Jeddah,31,39.192505,21.485811
53,King Abdulaziz University,21.4932675,39.2391473,2022,King Faisal Specialist Hospital and Research Center in Riyadh,30,46.675296,24.713552
54,King Abdulaziz University,21.4932675,39.2391473,2018,King Fahad Medical City in Riyadh,30,46.675296,24.713552
55,King Abdulaziz University,21.4932675,39.2391473,2021,King Fahd Hospital of Armed Forces in Jeddah,26,39.192505,21.485811
56,King Abdulaziz University,21.4932675,39.2391473,2018,King Abdullah Medical City in the Holy Capital,26,39.857912,21.389082
57,King Abdulaziz University,21.4932675,39.2391473,2018,Prince Sultan Military Medical City in Riyadh,26,46.675296,24.713552
58,King Abdulaziz University,21.4932675,39.2391473,2019,King Fahad Medical City in Riyadh,25,46.675296,24.713552
59,King Abdulaziz University,21.4932675,39.2391473,2021,King Abdulaziz Medical City for National Guard in Riyadh,24,46.675296,24.713552
60,King Abdulaziz University,21.4932675,39.2391473,2016,King Abdullah Medical City in the Holy Capital,24,39.857912,21.389082
61,King Abdulaziz University,21.4932675,39.2391473,2022,King Faisal Specialist Hospital and Research Center in Jeddah,24,39.192505,21.485811
62,King Abdulaziz University,21.4932675,39.2391473,2022,King Abdulaziz University Hospital in Jeddah,24,39.192505,21.485811
63,King Abdulaziz University,21.4932675,39.2391473,2020,JointProgram for Family Medicine in Jeddah,24,39.192505,21.485811
64,King Abdulaziz University,21.4932675,39.2391473,2019,King Abdulaziz Hospital in Jeddah,23,39.192505,21.485811
65,King Abdulaziz University,21.4932675,39.2391473,2016,Maternity and Children Hospital in Jeddah,23,39.192505,21.485811
66,King Abdulaziz University,21.4932675,39.2391473,2017,East Jeddah Hospital in Jeddah,23,39.192505,21.485811
67,King Abdulaziz University,21.4932675,39.2391473,2018,East Jeddah Hospital in Jeddah,22,39.192505,21.485811
