,Academic_Year,Current_Medical_Field_En,Current_Program_Name_En
324,2018,Medicine and Surgery,Obstetrics & Gynecology
750,2017,Medicine and Surgery,Pediatric Cardiology
751,2018,Medicine and Surgery,Pediatric Cardiology
752,2019,Medicine and Surgery,Pediatric Cardiology
822,2016,Medicine and Surgery,Pediatric Allergy And Immunology
823,2017,Medicine and Surgery,Pediatric Allergy And Immunology
852,2020,Medicine and Surgery,Family Medicine – 3 Years Track
853,2021,Medicine and Surgery,Family Medicine – 3 Years Track
859,2019,Medicine and Surgery,Hepatobiliary-Pancreatic Surgery
860,2020,Medicine and Surgery,Hepatobiliary-Pancreatic Surgery
863,2016,Medicine and Surgery,Hepatobiliary-Pancreatic Surgery
867,2016,Medicine and Surgery,Epilepsy & Electroencephalography
929,2016,Medicine and Surgery,Clinical Genetics & Metabolic Disorders
942,2016,Medicine and Surgery,Thoracic Surgery
985,2016,Medicine and Surgery,Gynecology Oncology
986,2017,Medicine and Surgery,Gynecology Oncology
1020,2016,Unknown,Nuclear Medicine
1024,2016,Medicine and Surgery,Palliative Medicine
1027,2016,Medicine and Surgery,Maternal Fetal Medicine
1034,2016,Medicine and Surgery,Breast And Endocrine Surgical Oncology
1047,2016,Medicine and Surgery,Adult Echocardiography
1050,2016,Medicine and Surgery,Pediatric Medicine
1055,2018,Medicine and Surgery,Adult Echocardiography
1056,2017,Medicine and Surgery,Military Field Medicine
1058,2016,Medicine and Surgery,Military Field Medicine
1059,2016,Medicine and Surgery,Musculoskeletal Imaging
1060,2016,Medicine and Surgery,Women Image
1062,2016,Medicine and Surgery,Ultrasound In Obstetrics & Gynecology
1076,2016,Medicine and Surgery,Gastroenterology
1077,2017,Medicine and Surgery,Gastroenterology
1078,2018,Medicine and Surgery,Gastroenterology
1079,2022,Medicine and Surgery,Gastroenterology
1081,2017,Medicine and Surgery,Adults Respiratory Medicine
1082,2018,Medicine and Surgery,Adults Respiratory Medicine
1083,2016,Medicine and Surgery,Adults Respiratory Medicine
1084,2022,Medicine and Surgery,Adults Respiratory Medicine
1085,2016,Dentistry and Related Specialties,Family Dentistry
1086,2017,Dentistry and Related Specialties,Family Dentistry
1087,2021,Dentistry and Related Specialties,Family Dentistry
1089,2017,Medicine and Surgery,Epilepsy & Electroencephalography
1092,2017,Medicine and Surgery,Clinical Genetics & Metabolic Disorders
1093,2016,Medicine and Surgery,Vascular Surgery
1094,2017,Medicine and Surgery,Vascular Surgery
1095,2018,Medicine and Surgery,Vascular Surgery
1099,2016,Medicine and Surgery,Anesthesia
1100,2017,Medicine and Surgery,Anesthesia
1101,2018,Medicine and Surgery,Anesthesia
1102,2020,Medicine and Surgery,Anesthesia
1103,2021,Medicine and Surgery,Anesthesia
